chrom,mid
g__Pseudescherichia,1.5
g__Ureaplasma,1.5
g__Kurthia,1.5
g__Leptotrichia,1.5
g__Porphyromonas,1.5
g__Rothia,1.5
g__Eubacterium_I,1.5
g__F0422,1.5
g__TM7x,1.5
g__UBA1417,1.5
g__UBA1417,1.5
g__Collinsella,1.5
