chrom,mid
Bacteroides,2
Bacteroides,2
Bacteroides,2
Bacteroides,2
Alistipes,2
Bacteroides_B,2
Alistipes,2
Blautia_A,2
Bacteroides_A,2
Ruminococcus_E,2
Agathobacter,2
Faecalibacterium,2
Agathobacter,2
Faecalibacterium,2
Bacteroides_B,2
Agathobacter,2
Bacteroides_B,2
Faecalicatena,2
Bacteroides,2
Bacteroides_B,2
Bacteroides,2
Bacteroides,2
Gemmiger,2
Roseburia,2
Agathobacter,2
Blautia_A,2
Bacteroides_A,2
Alistipes,2
Bacteroides_B,2
Anaerostipes,2
Blautia,2
Parabacteroides,2
Blautia_A,2
Alistipes,2
Bacteroides_A,2
Lachnospira,2
Agathobacter,2
Bacteroides_A,2
Blautia_A,2
Agathobacter,2
Bacteroides_B,2
Bacteroides_A,2
Alistipes,2
Lachnospira,2
