chrom,mid
g__Eubacterium_E,1.5
g__Blautia_A,1.5
g__Eubacterium_E,1.5
g__CAG-632,1.5
g__Gemmiger,1.5
g__Dorea,1.5
g__UBA5446,1.5
g__Lactococcus,1.5
g__Anaerostipes,1.5
g__UBA1417,1.5
g__CAG-83,1.5
g__Lachnospira,1.5
g__CAG-1427,1.5
g__UBA5446,1.5
g__Gemmiger,1.5
g__Hungatella_A,1.5
g__CAG-273,1.5
g__Methanobrevibacter_A,1.5
g__QAMM01,1.5
g__CAG-110,1.5
g__UBA1777,1.5
