chrom,mid
g__Eubacterium_E,1.5
g__Blautia_A,1.5
g__Blautia_A,1.5
g__CAG-145,1.5
g__Gemmiger,1.5
g__Dorea,1.5
g__Acutalibacter,1.5
g__CAG-411,1.5
g__Anaerostipes,1.5
g__Gemmiger,1.5
g__CAG-83,1.5
g__Gemmiger,1.5
g__CAG-1427,1.5
g__UBA5446,1.5
g__Faecalibacterium,1.5
g__Eubacterium_E,1.5
g__CAG-273,1.5
g__CAG-631,1.5
g__Gemmiger,1.5
g__Bittarella,1.5
g__UBA1417,1.5
