chrom,mid
g__Blautia_A,1.5
g__Agathobacter,1.5
g__Collinsella,1.5
g__Blautia,1.5
g__Agathobacter,1.5
g__Roseburia,1.5
g__Faecalibacterium,1.5
g__Gemmiger,1.5
g__Ruminococcus_C,1.5
g__Clostridium_M,1.5
g__COE1,1.5
g__Acetatifactor,1.5
g__Agathobacter,1.5
g__ER4,1.5
g__Faecalibacterium,1.5
g__Ruminococcus_C,1.5
g__Collinsella,1.5
g__CAG-81,1.5
g__Absiella,1.5
g__Coprobacter,1.5
g__Ruminococcus_E,1.5
g__CAG-83,1.5
g__Alistipes,1.5
g__Blautia_A,1.5
g__Parabacteroides,1.5
g__Agathobacter,1.5
g__Roseburia,1.5
g__Gemmiger,1.5
g__Blautia_A,1.5
g__CAG-390,1.5
g__Acetatifactor,1.5
g__Agathobacter,1.5
g__Faecalibacterium,1.5
g__Lachnospira,1.5
g__Agathobacter,1.5
g__Agathobacter,1.5
g__Blautia_A,1.5
g__Agathobaculum,1.5
g__Fusicatenibacter,1.5
g__Agathobacter,1.5
g__Gemmiger,1.5
g__Bacteroides_A,1.5
g__Agathobacter,1.5
g__Blautia_A,1.5
g__Blautia_A,1.5
g__Agathobacter,1.5
g__Agathobacter,1.5
g__Agathobacter,1.5
g__Agathobaculum,1.5
g__Acetatifactor,1.5
g__Agathobaculum,1.5
g__Blautia_A,1.5
g__Alistipes,1.5
g__Bacteroides_B,1.5
g__Agathobaculum,1.5
g__Dorea,1.5
g__Erysipelatoclostridium,1.5
g__Bacteroides,1.5
g__Blautia_A,1.5
g__Paraprevotella,1.5
g__ER4,1.5
g__Bacteroides_A,1.5
g__Flavonifractor,1.5
g__Acetatifactor,1.5
g__Clostridium_M,1.5
g__Roseburia,1.5
g__Blautia_A,1.5
g__Coprococcus,1.5
g__CAG-217,1.5
g__Coprococcus,1.5
g__Blautia,1.5
g__Acetatifactor,1.5
g__Faecalibacterium,1.5
g__CAG-110,1.5
g__Faecalibacterium,1.5
g__Faecalicatena,1.5
g__Agathobacter,1.5
g__Acetatifactor,1.5
g__Blautia_A,1.5
g__Anaerostipes,1.5
g__CAG-81,1.5
g__Blautia_A,1.5
g__Faecalicatena,1.5
g__Prevotella,1.5
g__CAG-127,1.5
g__CAG-83,1.5
g__Bacteroides_B,1.5
g__Faecalibacterium,1.5
