chrom,mid
Bacteroides,2
Bacteroides_A,2
Bacteroides_B,2
Parabacteroides,2
Bacteroides,2
Bacteroides_B,2
Alistipes,2
Blautia_A,2
Bacteroides_B,2
Ruminococcus_E,2
Roseburia,2
Faecalibacterium,2
Agathobacter,2
Gemmiger,2
Parabacteroides,2
Lachnospira,2
Neobitarella,2
Faecalicatena,2
Paraprevotella,2
Prevotella,2
Coprobacter,2
Prevotella,2
Gemmiger,2
Roseburia,2
Blautia_A,2
Faecalicatena,2
Bacteroides_A,2
Bacteroides_A,2
UBA5416,2
Anaerostipes,2
Blautia_A,2
Parabacteroides,2
Roseburia,2
Parabacteroides,2
Prevotella,2
Lachnospira,2
TF01-11,2
Coprobacter,2
Lachnospira,2
Faecalicatena,2
Paraprevotella,2
Paraprevotella,2
CAG-485,2
Roseburia,2
