,CPU time,Recall,FDR,Peak RAM,Ref Accuracy,Extracted Ref (M),Methods,Depth,F1 score,Complexity
102,0.0,1.0,0.0,0.13,1.0,0.19,LocalHGT,50,1.0,
103,0.08,1.0,0.0,1.11,0.0,0.0,LEMON,50,1.0,
104,0.0,1.0,0.0,0.13,1.0,0.31,LocalHGT,50,1.0,
105,0.13,1.0,0.0,1.18,0.0,0.0,LEMON,50,1.0,
106,0.0,1.0,0.0,0.13,1.0,0.31,LocalHGT,50,1.0,
107,0.08,1.0,0.0,1.12,0.0,0.0,LEMON,50,1.0,
108,0.0,0.97,0.0,0.13,0.98,0.38,LocalHGT,50,0.99,
109,0.09,0.97,0.0,1.11,0.0,0.0,LEMON,50,0.99,
110,0.0,1.0,0.0,0.13,1.0,0.34,LocalHGT,50,1.0,
111,0.08,1.0,0.0,1.11,0.0,0.0,LEMON,50,1.0,
112,0.0,1.0,0.0,0.13,1.0,0.26,LocalHGT,50,1.0,
113,0.09,1.0,0.0,1.11,0.0,0.0,LEMON,50,1.0,
114,0.0,1.0,0.0,0.13,1.0,0.17,LocalHGT,50,1.0,
115,0.07,1.0,0.0,1.09,0.0,0.0,LEMON,50,1.0,
116,0.0,1.0,0.0,0.13,1.0,0.34,LocalHGT,50,1.0,
117,0.09,1.0,0.0,1.11,0.0,0.0,LEMON,50,1.0,
118,0.0,0.95,0.0,0.13,0.95,0.21,LocalHGT,50,0.97,
119,0.12,0.95,0.0,1.12,0.0,0.0,LEMON,50,0.97,
120,0.0,1.0,0.0,0.13,1.0,0.14,LocalHGT,60,1.0,
121,0.09,1.0,0.0,1.11,0.0,0.0,LEMON,60,1.0,
122,0.0,1.0,0.0,0.13,1.0,0.36,LocalHGT,60,1.0,
123,0.13,1.0,0.0,1.13,0.0,0.0,LEMON,60,1.0,
124,0.0,1.0,0.0,0.13,1.0,2.09,LocalHGT,60,1.0,
125,0.16,0.97,0.03,1.16,0.0,0.0,LEMON,60,0.97,
126,0.0,1.0,0.0,0.13,1.0,0.13,LocalHGT,60,1.0,
127,0.08,1.0,0.0,1.18,0.0,0.0,LEMON,60,1.0,
128,0.0,1.0,0.0,0.13,1.0,0.15,LocalHGT,60,1.0,
129,0.1,1.0,0.0,1.17,0.0,0.0,LEMON,60,1.0,
130,0.0,0.95,0.0,0.13,0.95,0.6,LocalHGT,60,0.97,
131,0.19,0.95,0.0,1.2,0.0,0.0,LEMON,60,0.97,
132,0.0,1.0,0.0,0.13,1.0,0.28,LocalHGT,60,1.0,
133,0.09,1.0,0.0,1.1,0.0,0.0,LEMON,60,1.0,
134,0.0,1.0,0.0,0.13,1.0,0.27,LocalHGT,60,1.0,
135,0.1,1.0,0.0,1.2,0.0,0.0,LEMON,60,1.0,
136,0.0,1.0,0.0,0.13,1.0,0.15,LocalHGT,60,1.0,
137,0.08,1.0,0.0,1.18,0.0,0.0,LEMON,60,1.0,
138,0.0,1.0,0.0,0.13,1.0,0.15,LocalHGT,60,1.0,
139,0.11,1.0,0.0,1.14,0.0,0.0,LEMON,60,1.0,
140,0.0,1.0,0.0,0.13,1.0,0.46,LocalHGT,70,1.0,
141,0.16,1.0,0.0,1.25,0.0,0.0,LEMON,70,1.0,
142,0.0,1.0,0.0,0.13,1.0,0.13,LocalHGT,70,1.0,
143,0.09,1.0,0.0,1.09,0.0,0.0,LEMON,70,1.0,
144,0.0,1.0,0.0,0.13,1.0,0.5,LocalHGT,70,1.0,
145,0.24,1.0,0.0,1.22,0.0,0.0,LEMON,70,1.0,
146,0.0,1.0,0.0,0.13,1.0,0.58,LocalHGT,70,1.0,
147,0.18,1.0,0.0,1.22,0.0,0.0,LEMON,70,1.0,
148,0.0,1.0,0.0,0.13,1.0,0.92,LocalHGT,70,1.0,
149,0.25,1.0,0.0,1.17,0.0,0.0,LEMON,70,1.0,
150,0.0,1.0,0.05,0.13,1.0,4.33,LocalHGT,70,0.98,
151,0.27,1.0,0.0,1.27,0.0,0.0,LEMON,70,1.0,
152,0.0,1.0,0.0,0.13,1.0,0.46,LocalHGT,70,1.0,
153,0.17,1.0,0.0,1.26,0.0,0.0,LEMON,70,1.0,
154,0.0,1.0,0.0,0.13,1.0,0.27,LocalHGT,70,1.0,
155,0.13,1.0,0.0,1.11,0.0,0.0,LEMON,70,1.0,
156,0.0,1.0,0.0,0.13,1.0,1.93,LocalHGT,70,1.0,
157,0.2,1.0,0.0,1.13,0.0,0.0,LEMON,70,1.0,
158,0.0,1.0,0.0,0.13,1.0,0.44,LocalHGT,70,1.0,
159,0.16,0.97,0.03,1.13,0.0,0.0,LEMON,70,0.97,
160,0.0,1.0,0.0,0.13,1.0,0.42,LocalHGT,80,1.0,
161,0.15,1.0,0.0,1.14,0.0,0.0,LEMON,80,1.0,
162,0.0,1.0,0.0,0.13,1.0,0.16,LocalHGT,80,1.0,
163,0.11,1.0,0.0,1.12,0.0,0.0,LEMON,80,1.0,
164,0.0,0.97,0.0,0.13,0.98,0.25,LocalHGT,80,0.99,
165,0.14,0.97,0.0,1.13,0.0,0.0,LEMON,80,0.99,
166,0.0,1.0,0.0,0.13,1.0,1.03,LocalHGT,80,1.0,
167,0.21,1.0,0.0,1.13,0.0,0.0,LEMON,80,1.0,
168,0.0,1.0,0.0,0.13,1.0,3.11,LocalHGT,80,1.0,
169,0.19,1.0,0.0,1.11,0.0,0.0,LEMON,80,1.0,
170,0.0,1.0,0.0,0.13,1.0,1.03,LocalHGT,80,1.0,
171,0.21,1.0,0.0,1.15,0.0,0.0,LEMON,80,1.0,
172,0.0,0.97,0.03,0.13,0.98,0.4,LocalHGT,80,0.97,
173,0.14,0.95,0.0,1.13,0.0,0.0,LEMON,80,0.97,
174,0.0,1.0,0.0,0.13,1.0,0.16,LocalHGT,80,1.0,
175,0.1,0.97,0.03,1.11,0.0,0.0,LEMON,80,0.97,
176,0.0,1.0,0.0,0.13,1.0,0.27,LocalHGT,80,1.0,
177,0.14,1.0,0.0,1.11,0.0,0.0,LEMON,80,1.0,
178,0.0,1.0,0.0,0.13,1.0,0.77,LocalHGT,80,1.0,
179,0.21,1.0,0.0,1.13,0.0,0.0,LEMON,80,1.0,
180,0.0,0.95,0.03,0.13,0.95,0.46,LocalHGT,90,0.96,
181,0.15,0.93,0.03,1.13,0.0,0.0,LEMON,90,0.95,
182,0.0,1.0,0.0,0.13,1.0,3.29,LocalHGT,90,1.0,
183,0.25,1.0,0.0,1.13,0.0,0.0,LEMON,90,1.0,
184,0.0,0.97,0.0,0.13,0.98,0.16,LocalHGT,90,0.99,
185,0.15,0.97,0.0,1.13,0.0,0.0,LEMON,90,0.99,
186,0.0,1.0,0.0,0.13,1.0,0.61,LocalHGT,90,1.0,
187,0.21,1.0,0.0,1.13,0.0,0.0,LEMON,90,1.0,
188,0.0,1.0,0.0,0.13,1.0,0.16,LocalHGT,90,1.0,
189,0.12,1.0,0.0,1.11,0.0,0.0,LEMON,90,1.0,
190,0.0,1.0,0.0,0.13,1.0,0.12,LocalHGT,90,1.0,
191,0.13,1.0,0.0,1.13,0.0,0.0,LEMON,90,1.0,
192,0.0,1.0,0.0,0.13,1.0,0.87,LocalHGT,90,1.0,
193,0.27,1.0,0.0,1.13,0.0,0.0,LEMON,90,1.0,
194,0.0,1.0,0.0,0.13,1.0,0.15,LocalHGT,90,1.0,
195,0.12,1.0,0.0,1.11,0.0,0.0,LEMON,90,1.0,
196,0.0,1.0,0.0,0.13,1.0,0.16,LocalHGT,90,1.0,
197,0.14,1.0,0.0,1.13,0.0,0.0,LEMON,90,1.0,
198,0.0,1.0,0.0,0.13,1.0,0.35,LocalHGT,90,1.0,
199,0.18,1.0,0.0,1.13,0.0,0.0,LEMON,90,1.0,
200,0.0,1.0,0.0,0.13,1.0,0.41,LocalHGT,100,1.0,
201,0.17,1.0,0.0,1.13,0.0,0.0,LEMON,100,1.0,
202,0.0,1.0,0.0,0.13,1.0,0.18,LocalHGT,100,1.0,
203,0.2,1.0,0.0,1.13,0.0,0.0,LEMON,100,1.0,
204,0.0,1.0,0.0,0.13,1.0,0.27,LocalHGT,100,1.0,
205,0.14,1.0,0.0,1.13,0.0,0.0,LEMON,100,1.0,
206,0.0,0.97,0.0,0.13,0.98,0.19,LocalHGT,100,0.99,
207,0.15,0.97,0.0,1.13,0.0,0.0,LEMON,100,0.99,
208,0.0,1.0,0.0,0.13,1.0,0.23,LocalHGT,100,1.0,
209,0.19,0.97,0.0,1.13,0.0,0.0,LEMON,100,0.99,
210,0.01,1.0,0.0,0.14,1.0,4.67,LocalHGT,100,1.0,
211,0.4,1.0,0.0,1.13,0.0,0.0,LEMON,100,1.0,
212,0.0,1.0,0.0,0.13,1.0,0.91,LocalHGT,100,1.0,
213,0.26,1.0,0.0,1.13,0.0,0.0,LEMON,100,1.0,
214,0.0,1.0,0.0,0.13,1.0,0.17,LocalHGT,100,1.0,
215,0.15,1.0,0.0,1.13,0.0,0.0,LEMON,100,1.0,
216,0.0,0.97,0.0,0.13,0.98,1.19,LocalHGT,100,0.99,
217,0.23,0.97,0.0,1.12,0.0,0.0,LEMON,100,0.99,
218,0.0,1.0,0.0,0.13,1.0,0.22,LocalHGT,100,1.0,
219,0.14,0.97,0.03,1.13,0.0,0.0,LEMON,100,0.97,
