,CPU time,Recall,FDR,Peak RAM,Ref Accuracy,Extracted Ref (M),Methods,frag,F1,Complexity
99,0.06,1.0,0.0,1.01,0.0,0.0,LEMON,800,1.0,
100,0.26,0.97,0.0,21.42,1.0,0.6,LocalHGT,950,0.99,
101,0.08,1.0,0.0,1.2,0.0,0.0,LEMON,950,1.0,
102,0.22,1.0,0.0,21.53,1.0,0.33,LocalHGT,950,1.0,
103,0.08,1.0,0.0,1.13,0.0,0.0,LEMON,950,1.0,
104,0.18,1.0,0.0,21.39,1.0,0.35,LocalHGT,950,1.0,
105,0.06,1.0,0.0,1.04,0.0,0.0,LEMON,950,1.0,
106,0.26,1.0,0.0,21.42,1.0,0.65,LocalHGT,950,1.0,
107,0.09,1.0,0.0,1.12,0.0,0.0,LEMON,950,1.0,
108,0.15,0.97,0.0,21.34,1.0,0.18,LocalHGT,950,0.99,
109,0.05,1.0,0.0,0.87,0.0,0.0,LEMON,950,1.0,
110,0.25,1.0,0.0,21.44,1.0,0.27,LocalHGT,950,1.0,
111,0.08,1.0,0.0,1.15,0.0,0.0,LEMON,950,1.0,
112,0.18,0.97,0.0,21.37,1.0,0.28,LocalHGT,950,0.99,
113,0.06,1.0,0.0,1.06,0.0,0.0,LEMON,950,1.0,
114,0.18,1.0,0.0,21.36,1.0,0.58,LocalHGT,950,1.0,
115,0.06,1.0,0.0,1.02,0.0,0.0,LEMON,950,1.0,
116,0.27,0.97,0.0,21.52,1.0,0.63,LocalHGT,950,0.99,
117,0.1,1.0,0.0,1.22,0.0,0.0,LEMON,950,1.0,
118,0.18,0.93,0.0,21.38,1.0,0.66,LocalHGT,950,0.96,
119,0.06,0.93,0.0,1.08,0.0,0.0,LEMON,950,0.96,
