,ratio,Comparison,Group,Cohort,Level
85,0.6978232755948106,exponential,control,ZellerG_2014,phylum
86,0.5209688709151544,Weibull,control,ZellerG_2014,phylum
87,1.0923680720761113,lognormal_positive,control,ZellerG_2014,phylum
88,0.8113975145064328,exponential,control,ZellerG_2014,phylum
89,0.3838029972621649,Weibull,control,ZellerG_2014,phylum
90,0.053902295689177926,lognormal_positive,CRC,ZellerG_2014,phylum
91,0.640276881786684,exponential,CRC,ZellerG_2014,phylum
92,0.6181630155507865,Weibull,CRC,ZellerG_2014,phylum
93,-0.33716465147008945,lognormal_positive,CRC,ZellerG_2014,phylum
94,-0.7090900558417264,exponential,CRC,ZellerG_2014,phylum
95,-0.43595468541492327,Weibull,CRC,ZellerG_2014,phylum
96,0.1400070530873999,lognormal_positive,CRC,ZellerG_2014,phylum
97,0.5025048436212032,exponential,CRC,ZellerG_2014,phylum
98,0.3852259076019182,Weibull,CRC,ZellerG_2014,phylum
99,0.32938141297747736,lognormal_positive,control,ZellerG_2014,phylum
100,1.031231424934237,exponential,control,ZellerG_2014,phylum
101,0.6612842451389047,Weibull,control,ZellerG_2014,phylum
102,0.13662942405456158,lognormal_positive,CRC,ZellerG_2014,phylum
103,0.34657777435372733,exponential,CRC,ZellerG_2014,phylum
104,0.05942708093178452,Weibull,CRC,ZellerG_2014,phylum
105,-0.3086971918023165,lognormal_positive,control,ZellerG_2014,phylum
106,-0.32321168334418016,exponential,control,ZellerG_2014,phylum
107,-0.4238101908191986,Weibull,control,ZellerG_2014,phylum
108,0.052738614579084575,lognormal_positive,control,ZellerG_2014,phylum
109,0.10003786130146901,exponential,control,ZellerG_2014,phylum
110,-0.07511781087036931,Weibull,control,ZellerG_2014,phylum
111,0.052738614579084575,lognormal_positive,control,ZellerG_2014,phylum
112,0.10003786130146901,exponential,control,ZellerG_2014,phylum
113,-0.07511781087036931,Weibull,control,ZellerG_2014,phylum
114,-0.33716465147008945,lognormal_positive,control,ZellerG_2014,phylum
115,-0.7090900558417264,exponential,control,ZellerG_2014,phylum
116,-0.43595468541492327,Weibull,control,ZellerG_2014,phylum
117,-0.08990267459860907,lognormal_positive,control,ZellerG_2014,phylum
118,-0.20258279257503892,exponential,control,ZellerG_2014,phylum
119,-0.23595049417341546,Weibull,control,ZellerG_2014,phylum
120,0.17445868257163832,lognormal_positive,CRC,ZellerG_2014,phylum
121,0.2258303659693744,exponential,CRC,ZellerG_2014,phylum
122,0.07863689787613774,Weibull,CRC,ZellerG_2014,phylum
123,0.16845089928673607,lognormal_positive,CRC,ZellerG_2014,phylum
124,0.6978232755948106,exponential,CRC,ZellerG_2014,phylum
125,0.5209688709151544,Weibull,CRC,ZellerG_2014,phylum
126,0.4613811408254298,lognormal_positive,control,ZellerG_2014,phylum
127,0.48647731424402657,exponential,control,ZellerG_2014,phylum
128,0.03772408677313278,Weibull,control,ZellerG_2014,phylum
129,0.12829309954806123,lognormal_positive,CRC,ZellerG_2014,phylum
130,0.6743615286240889,exponential,CRC,ZellerG_2014,phylum
131,0.40067331899624326,Weibull,CRC,ZellerG_2014,phylum
132,0.17301051774870935,lognormal_positive,control,ZellerG_2014,phylum
133,0.15539121438729367,exponential,control,ZellerG_2014,phylum
134,-0.17532534346216805,Weibull,control,ZellerG_2014,phylum
135,0.32938141297747736,lognormal_positive,control,ZellerG_2014,phylum
136,1.031231424934237,exponential,control,ZellerG_2014,phylum
137,0.6612842451389047,Weibull,control,ZellerG_2014,phylum
138,-0.3691227520108409,lognormal_positive,CRC,ZellerG_2014,phylum
139,-0.4481264751015692,exponential,CRC,ZellerG_2014,phylum
140,-0.3969912577999152,Weibull,CRC,ZellerG_2014,phylum
141,0.8281314435655609,lognormal_positive,CRC,ZellerG_2014,phylum
142,1.1123971308438698,exponential,CRC,ZellerG_2014,phylum
143,0.919168814704167,Weibull,CRC,ZellerG_2014,phylum
144,0.9989283992508513,lognormal_positive,CRC,ZellerG_2014,phylum
145,0.8106379807867732,exponential,CRC,ZellerG_2014,phylum
146,0.3726756039360485,Weibull,CRC,ZellerG_2014,phylum
147,-0.3086971918023165,lognormal_positive,CRC,ZellerG_2014,phylum
148,-0.32321168334418016,exponential,CRC,ZellerG_2014,phylum
149,-0.4238101908191986,Weibull,CRC,ZellerG_2014,phylum
150,1.056308677849723,lognormal_positive,CRC,ZellerG_2014,phylum
151,0.8984380165550465,exponential,CRC,ZellerG_2014,phylum
152,0.34406095035388634,Weibull,CRC,ZellerG_2014,phylum
153,0.20522973158836572,lognormal_positive,control,ZellerG_2014,phylum
154,0.6987711213208073,exponential,control,ZellerG_2014,phylum
155,0.41308266911821917,Weibull,control,ZellerG_2014,phylum
156,0.7437474668711801,lognormal_positive,control,ZellerG_2014,phylum
157,0.8736466726146711,exponential,control,ZellerG_2014,phylum
158,0.2939283156813457,Weibull,control,ZellerG_2014,phylum
159,0.008081172500878031,lognormal_positive,CRC,ZellerG_2014,phylum
160,0.037175172131232385,exponential,CRC,ZellerG_2014,phylum
161,0.02011228281074846,Weibull,CRC,ZellerG_2014,phylum
162,1.203587761612901,lognormal_positive,control,ZellerG_2014,phylum
163,1.1130713677141526,exponential,control,ZellerG_2014,phylum
164,0.49741221637370236,Weibull,control,ZellerG_2014,phylum
165,0.48973281699621696,lognormal_positive,control,ZellerG_2014,phylum
166,0.6936089864300434,exponential,control,ZellerG_2014,phylum
167,0.40839575813281515,Weibull,control,ZellerG_2014,phylum
168,0.44362069039000707,lognormal_positive,CRC,ZellerG_2014,phylum
169,0.45058023033968975,exponential,CRC,ZellerG_2014,phylum
170,0.0190467537906785,Weibull,CRC,ZellerG_2014,phylum
171,1.203587761612901,lognormal_positive,CRC,ZellerG_2014,phylum
172,1.1130713677141526,exponential,CRC,ZellerG_2014,phylum
173,0.49741221637370236,Weibull,CRC,ZellerG_2014,phylum
174,-0.02700654646683409,lognormal_positive,control,ZellerG_2014,phylum
175,-0.14459301777496733,exponential,control,ZellerG_2014,phylum
176,-0.13276457225200283,Weibull,control,ZellerG_2014,phylum
177,0.20002429755017592,lognormal_positive,CRC,ZellerG_2014,phylum
178,0.7180668388942028,exponential,CRC,ZellerG_2014,phylum
179,0.43761197831752263,Weibull,CRC,ZellerG_2014,phylum
180,-0.4074252439259948,lognormal_positive,control,ZellerG_2014,phylum
181,-0.7224585909661039,exponential,control,ZellerG_2014,phylum
182,-0.5322744006125302,Weibull,control,ZellerG_2014,phylum
183,-0.3691227520108409,lognormal_positive,CRC,ZellerG_2014,phylum
184,-0.4481264751015692,exponential,CRC,ZellerG_2014,phylum
185,-0.3969912577999152,Weibull,CRC,ZellerG_2014,phylum
186,-0.02700654646683409,lognormal_positive,control,ZellerG_2014,phylum
187,-0.14459301777496733,exponential,control,ZellerG_2014,phylum
188,-0.13276457225200283,Weibull,control,ZellerG_2014,phylum
189,0.34840498236221373,lognormal_positive,control,ZellerG_2014,phylum
190,0.3077130495995757,exponential,control,ZellerG_2014,phylum
191,-0.05379865032828208,Weibull,control,ZellerG_2014,phylum
192,2.262977393384747,lognormal_positive,CRC,ZellerG_2014,phylum
193,1.7318851173391026,exponential,CRC,ZellerG_2014,phylum
194,0.9168550704199884,Weibull,CRC,ZellerG_2014,phylum
195,1.901243023261388,lognormal_positive,CRC,ZellerG_2014,phylum
196,1.3306851867434406,exponential,CRC,ZellerG_2014,phylum
197,0.9536828377998747,Weibull,CRC,ZellerG_2014,phylum
198,0.0749544805001876,lognormal_positive,CRC,ZellerG_2014,phylum
199,0.6465200117539233,exponential,CRC,ZellerG_2014,phylum
200,0.5791853550673083,Weibull,CRC,ZellerG_2014,phylum
201,0.053902295689177926,lognormal_positive,CRC,ZellerG_2014,phylum
202,0.640276881786684,exponential,CRC,ZellerG_2014,phylum
203,0.6181630155507865,Weibull,CRC,ZellerG_2014,phylum
204,0.5463625551804455,lognormal_positive,CRC,ZellerG_2014,phylum
205,1.316798516592312,exponential,CRC,ZellerG_2014,phylum
206,1.0495763414207484,Weibull,CRC,ZellerG_2014,phylum
207,1.5552248797543786,lognormal_positive,CRC,ZellerG_2014,phylum
208,1.5740766750254298,exponential,CRC,ZellerG_2014,phylum
209,0.8888105751326663,Weibull,CRC,ZellerG_2014,phylum
210,0.12829309954806123,lognormal_positive,CRC,ZellerG_2014,phylum
211,0.6743615286240889,exponential,CRC,ZellerG_2014,phylum
212,0.40067331899624326,Weibull,CRC,ZellerG_2014,phylum
213,0.4613811408254298,lognormal_positive,CRC,ZellerG_2014,phylum
214,0.48647731424402657,exponential,CRC,ZellerG_2014,phylum
215,0.03772408677313278,Weibull,CRC,ZellerG_2014,phylum
216,0.5463625551804455,lognormal_positive,CRC,ZellerG_2014,phylum
217,1.316798516592312,exponential,CRC,ZellerG_2014,phylum
218,1.0495763414207484,Weibull,CRC,ZellerG_2014,phylum
219,1.8406225218829944,lognormal_positive,control,ZellerG_2014,phylum
220,1.254656843483699,exponential,control,ZellerG_2014,phylum
221,0.7539993818224414,Weibull,control,ZellerG_2014,phylum
222,-0.8933989371113276,lognormal_positive,control,ZellerG_2014,phylum
223,-1.1227536483917449,exponential,control,ZellerG_2014,phylum
224,-0.6444669590654543,Weibull,control,ZellerG_2014,phylum
225,0.16845089928673607,lognormal_positive,control,ZellerG_2014,phylum
226,0.6978232755948106,exponential,control,ZellerG_2014,phylum
227,0.5209688709151544,Weibull,control,ZellerG_2014,phylum
228,0.3974721967915771,lognormal_positive,control,ZellerG_2014,phylum
229,0.3961253243504641,exponential,control,ZellerG_2014,phylum
230,-0.015420305085505607,Weibull,control,ZellerG_2014,phylum
231,-0.0738057970349969,lognormal_positive,control,ZellerG_2014,phylum
232,-0.17043969049116936,exponential,control,ZellerG_2014,phylum
233,-0.19033907101345526,Weibull,control,ZellerG_2014,phylum
234,0.008081172500878031,lognormal_positive,CRC,ZellerG_2014,phylum
235,0.037175172131232385,exponential,CRC,ZellerG_2014,phylum
236,0.02011228281074846,Weibull,CRC,ZellerG_2014,phylum
237,-1.0253258376167256,lognormal_positive,CRC,ZellerG_2014,phylum
238,-1.0586797281153526,exponential,CRC,ZellerG_2014,phylum
239,-0.7728465990695987,Weibull,CRC,ZellerG_2014,phylum
240,1.203587761612901,lognormal_positive,control,ZellerG_2014,phylum
241,1.1130713677141526,exponential,control,ZellerG_2014,phylum
242,0.49741221637370236,Weibull,control,ZellerG_2014,phylum
243,-0.12222974032486023,lognormal_positive,CRC,ZellerG_2014,phylum
244,-0.40176135660850554,exponential,CRC,ZellerG_2014,phylum
245,-0.22540915454018562,Weibull,CRC,ZellerG_2014,phylum
246,2.2007800078373907,lognormal_positive,control,ZellerG_2014,phylum
247,1.704579641403418,exponential,control,ZellerG_2014,phylum
248,1.028487297490937,Weibull,control,ZellerG_2014,phylum
249,1.3146511184592646,lognormal_positive,CRC,ZellerG_2014,phylum
250,1.2080475982943069,exponential,CRC,ZellerG_2014,phylum
251,0.616716495417653,Weibull,CRC,ZellerG_2014,phylum
252,-0.0738057970349969,lognormal_positive,CRC,ZellerG_2014,phylum
253,-0.17043969049116936,exponential,CRC,ZellerG_2014,phylum
254,-0.19033907101345526,Weibull,CRC,ZellerG_2014,phylum
255,0.3974721967915771,lognormal_positive,control,ZellerG_2014,phylum
256,0.3961253243504641,exponential,control,ZellerG_2014,phylum
257,-0.015420305085505607,Weibull,control,ZellerG_2014,phylum
258,0.4728763787879211,lognormal_positive,CRC,ZellerG_2014,phylum
259,1.2875667236860255,exponential,CRC,ZellerG_2014,phylum
260,0.8440015247527456,Weibull,CRC,ZellerG_2014,phylum
261,-0.3354964477660901,lognormal_positive,control,ZellerG_2014,phylum
262,-0.38068346261384123,exponential,control,ZellerG_2014,phylum
263,-0.4322719771877171,Weibull,control,ZellerG_2014,phylum
264,0.44362069039000707,lognormal_positive,control,ZellerG_2014,phylum
265,0.45058023033968975,exponential,control,ZellerG_2014,phylum
266,0.0190467537906785,Weibull,control,ZellerG_2014,phylum
267,0.48973281699621696,lognormal_positive,control,ZellerG_2014,phylum
268,0.6936089864300434,exponential,control,ZellerG_2014,phylum
269,0.40839575813281515,Weibull,control,ZellerG_2014,phylum
270,-0.3086971918023165,lognormal_positive,CRC,ZellerG_2014,phylum
271,-0.32321168334418016,exponential,CRC,ZellerG_2014,phylum
272,-0.4238101908191986,Weibull,CRC,ZellerG_2014,phylum
273,0.16845089928673607,lognormal_positive,CRC,ZellerG_2014,phylum
274,0.6978232755948106,exponential,CRC,ZellerG_2014,phylum
275,0.5209688709151544,Weibull,CRC,ZellerG_2014,phylum
276,-0.14154485414567242,lognormal_positive,control,ZellerG_2014,phylum
277,-0.13630146205498042,exponential,control,ZellerG_2014,phylum
278,-0.29196585290915167,Weibull,control,ZellerG_2014,phylum
279,0.11414958806057807,lognormal_positive,control,ZellerG_2014,phylum
280,0.033695177853500576,exponential,control,ZellerG_2014,phylum
281,-0.16209418104648998,Weibull,control,ZellerG_2014,phylum
282,-0.02700654646683409,lognormal_positive,CRC,ZellerG_2014,phylum
283,-0.14459301777496733,exponential,CRC,ZellerG_2014,phylum
284,-0.13276457225200283,Weibull,CRC,ZellerG_2014,phylum
285,0.13662942405456158,lognormal_positive,CRC,ZellerG_2014,phylum
286,0.34657777435372733,exponential,CRC,ZellerG_2014,phylum
287,0.05942708093178452,Weibull,CRC,ZellerG_2014,phylum
288,-0.48421846487210907,lognormal_positive,CRC,ZellerG_2014,phylum
289,-0.5517464055801387,exponential,CRC,ZellerG_2014,phylum
290,-0.5026210709648435,Weibull,CRC,ZellerG_2014,phylum
291,0.12829309954806123,lognormal_positive,CRC,ZellerG_2014,phylum
292,0.6743615286240889,exponential,CRC,ZellerG_2014,phylum
293,0.40067331899624326,Weibull,CRC,ZellerG_2014,phylum
294,0.0749544805001876,lognormal_positive,CRC,ZellerG_2014,phylum
295,0.6465200117539233,exponential,CRC,ZellerG_2014,phylum
296,0.5791853550673083,Weibull,CRC,ZellerG_2014,phylum
