,Property,Value,Group,Cohort,Level,Origin
5598,algebraic_connectivity,0.322,CRC,ThomasAM_2018b,phylum,0.322
5599,density,-0.262,CRC,ThomasAM_2018b,phylum,-0.262
5600,assortativity,0.476,CRC,ThomasAM_2018b,phylum,0.476
5601,transitivity,0.25,CRC,ThomasAM_2018b,phylum,0.25
5602,algebraic_connectivity,0.0,CRC,ThomasAM_2018b,phylum,0.0
5603,density,-0.482,CRC,ThomasAM_2018b,phylum,-0.482
5604,assortativity,0.476,CRC,ThomasAM_2018b,phylum,0.476
5605,transitivity,0.0,CRC,ThomasAM_2018b,phylum,0.0
5606,algebraic_connectivity,0.0,CRC,ThomasAM_2018b,phylum,0.0
5607,density,-0.328,CRC,ThomasAM_2018b,phylum,-0.328
5608,assortativity,0.476,control,ThomasAM_2018b,phylum,0.476
5609,transitivity,0.176,control,ThomasAM_2018b,phylum,0.176
5610,algebraic_connectivity,1.0,control,ThomasAM_2018b,phylum,1.0
5611,density,-0.64,control,ThomasAM_2018b,phylum,-0.64
5612,assortativity,0.278,CRC,ThomasAM_2018b,phylum,0.278
5613,transitivity,0.0,CRC,ThomasAM_2018b,phylum,0.0
5614,algebraic_connectivity,0.0,CRC,ThomasAM_2018b,phylum,0.0
5615,density,-0.465,CRC,ThomasAM_2018b,phylum,-0.465
5616,assortativity,0.357,CRC,ThomasAM_2018b,phylum,0.357
5617,transitivity,0.0,CRC,ThomasAM_2018b,phylum,0.0
5618,algebraic_connectivity,0.452,CRC,ThomasAM_2018b,phylum,0.452
5619,density,-0.62,CRC,ThomasAM_2018b,phylum,-0.62
5620,assortativity,1.0,control,ThomasAM_2018b,phylum,1.0
5621,transitivity,0.6,control,ThomasAM_2018b,phylum,0.6
5622,algebraic_connectivity,0.83,control,ThomasAM_2018b,phylum,0.83
5623,density,-0.114,control,ThomasAM_2018b,phylum,-0.114
5624,assortativity,0.476,CRC,ThomasAM_2018b,phylum,0.476
5625,transitivity,0.0,CRC,ThomasAM_2018b,phylum,0.0
5626,algebraic_connectivity,0.0,CRC,ThomasAM_2018b,phylum,0.0
5627,density,-0.483,CRC,ThomasAM_2018b,phylum,-0.483
5628,assortativity,0.667,CRC,ThomasAM_2018b,phylum,0.667
5629,transitivity,0.462,CRC,ThomasAM_2018b,phylum,0.462
5630,algebraic_connectivity,0.697,CRC,ThomasAM_2018b,phylum,0.697
5631,density,-0.354,CRC,ThomasAM_2018b,phylum,-0.354
5632,assortativity,0.357,adenoma,ThomasAM_2018a,phylum,0.357
5633,transitivity,0.3,adenoma,ThomasAM_2018a,phylum,0.3
5634,algebraic_connectivity,0.0,adenoma,ThomasAM_2018a,phylum,0.0
5635,density,-0.385,adenoma,ThomasAM_2018a,phylum,-0.385
5636,assortativity,0.476,adenoma,ThomasAM_2018a,phylum,0.476
5637,transitivity,0.25,adenoma,ThomasAM_2018a,phylum,0.25
5638,algebraic_connectivity,0.0,adenoma,ThomasAM_2018a,phylum,0.0
5639,density,-0.482,adenoma,ThomasAM_2018a,phylum,-0.482
5640,assortativity,0.667,adenoma,ThomasAM_2018a,phylum,0.667
5641,transitivity,0.4,adenoma,ThomasAM_2018a,phylum,0.4
5642,algebraic_connectivity,1.0,adenoma,ThomasAM_2018a,phylum,1.0
5643,density,-0.589,adenoma,ThomasAM_2018a,phylum,-0.589
5644,assortativity,0.476,CRC,ThomasAM_2018b,phylum,0.476
5645,transitivity,0.3,CRC,ThomasAM_2018b,phylum,0.3
5646,algebraic_connectivity,0.0,CRC,ThomasAM_2018b,phylum,0.0
5647,density,-0.357,CRC,ThomasAM_2018b,phylum,-0.357
5648,assortativity,0.357,control,ThomasAM_2018b,phylum,0.357
5649,transitivity,0.0,control,ThomasAM_2018b,phylum,0.0
5650,algebraic_connectivity,0.0,control,ThomasAM_2018b,phylum,0.0
5651,density,-0.483,control,ThomasAM_2018b,phylum,-0.483
