,CRC,control,Pvalue
0,0.3282828282828283,0.5481283422459893,7.952333617769631e-10
1,0.35858585858585856,0.5775401069518716,1.1714663038743278e-09
2,0.13383838383838384,0.3155080213903743,1.3815890318631482e-09
3,0.5808080808080808,0.767379679144385,3.688092287872135e-08
4,0.045454545454545456,0.1657754010695187,4.6279521548837054e-08
5,0.41919191919191917,0.6149732620320856,5.6672060469677895e-08
6,0.48484848484848486,0.6764705882352942,7.565838530698674e-08
7,0.11616161616161616,0.26737967914438504,8.971671614933426e-08
8,0.3838383838383838,0.5748663101604278,1.1528785350676798e-07
9,0.46464646464646464,0.6497326203208557,2.454814155151294e-07
10,0.022727272727272728,0.11497326203208556,3.4973197313279783e-07
11,0.16414141414141414,0.32085561497326204,3.703237940340657e-07
12,0.4621212121212121,0.6443850267379679,3.810239284805339e-07
13,0.6085858585858586,0.7727272727272727,9.043879430414893e-07
14,0.20707070707070707,0.3663101604278075,9.984775322935296e-07
15,0.6186868686868687,0.7807486631016043,1.0121066513952962e-06
16,0.23484848484848486,0.3983957219251337,1.0471967601015474e-06
17,0.547979797979798,0.7165775401069518,1.3026013533064156e-06
18,0.30808080808080807,0.47593582887700536,1.8386969491335594e-06
19,0.25757575757575757,0.41711229946524064,2.809357272340325e-06
20,0.26262626262626265,0.42245989304812837,2.9345653078469307e-06
21,0.2777777777777778,0.4385026737967914,3.2778188570482274e-06
22,0.6944444444444444,0.8368983957219251,3.3673693711756205e-06
23,0.29292929292929293,0.45454545454545453,3.5587503438897227e-06
24,0.6792929292929293,0.8235294117647058,3.9788676518212575e-06
25,0.10606060606060606,0.22994652406417113,3.991587911914039e-06
26,0.022727272727272728,0.10160427807486631,4.969738805226004e-06
27,0.04292929292929293,0.13636363636363635,5.0306173741576204e-06
28,0.5429292929292929,0.7005347593582888,6.830632648088165e-06
29,0.49747474747474746,0.6577540106951871,6.9908510078529165e-06
30,0.29797979797979796,0.45454545454545453,7.311856881399565e-06
31,0.5858585858585859,0.7379679144385026,8.611386884091547e-06
32,0.1388888888888889,0.26737967914438504,8.949260546959953e-06
33,0.21464646464646464,0.3582887700534759,1.020594314610408e-05
34,0.0707070707070707,0.17379679144385027,1.1637330742188844e-05
35,0.03787878787878788,0.12299465240641712,1.2566709500378236e-05
36,0.047979797979797977,0.13903743315508021,1.2901325209362653e-05
37,0.19444444444444445,0.3315508021390374,1.515528044581395e-05
38,0.255050505050505,0.3983957219251337,2.208916555961948e-05
39,0.030303030303030304,0.10695187165775401,2.305771387832472e-05
40,0.2777777777777778,0.42245989304812837,2.560311406513701e-05
41,0.08585858585858586,0.18983957219251338,2.6785664907612725e-05
42,0.3055555555555556,0.45187165775401067,2.851229721207597e-05
43,0.4217171717171717,0.5721925133689839,3.0307499013839347e-05
44,0.015151515151515152,0.07754010695187166,3.3138101054834666e-05
45,0.5,0.6470588235294118,3.81419815234416e-05
46,0.32323232323232326,0.4679144385026738,4.0517154009347645e-05
47,0.1919191919191919,0.32085561497326204,4.0926324381403575e-05
48,0.25757575757575757,0.39572192513368987,4.336697328356434e-05
49,0.11868686868686869,0.22994652406417113,4.521398830367225e-05
50,0.22727272727272727,0.3609625668449198,4.6189212387354585e-05
51,0.16414141414141414,0.28609625668449196,4.9505241497376006e-05
52,0.23484848484848486,0.3689839572192513,4.978073306201589e-05
53,0.3838383838383838,0.5294117647058824,5.0821614793325596e-05
54,0.3838383838383838,0.5294117647058824,5.0821614793325596e-05
55,0.03787878787878788,0.11497326203208556,5.1580527119283726e-05
56,0.1717171717171717,0.29411764705882354,5.727000375182673e-05
57,0.15656565656565657,0.27540106951871657,5.976681871163012e-05
58,0.06565656565656566,0.15508021390374332,7.030534236098257e-05
59,0.19444444444444445,0.3181818181818182,8.258651815506582e-05
60,0.2222222222222222,0.3502673796791444,8.368688484262384e-05
61,0.11616161616161616,0.22192513368983957,8.675841992189802e-05
62,0.12878787878787878,0.23796791443850268,8.741925292566919e-05
63,0.07828282828282829,0.1711229946524064,9.14040209199624e-05
64,0.05808080808080808,0.14171122994652408,0.00010196035252051849
65,0.13636363636363635,0.24598930481283424,0.00010626720843775339
66,0.1111111111111111,0.21390374331550802,0.0001063078215777453
67,0.1893939393939394,0.31016042780748665,0.0001064644376350358
68,0.12626262626262627,0.232620320855615,0.000116144363533629
69,0.45202020202020204,0.5909090909090909,0.00011683559838078477
70,0.09343434343434344,0.18983957219251338,0.0001193412077317776
71,0.020202020202020204,0.08021390374331551,0.00012322767566062744
72,0.20202020202020202,0.3235294117647059,0.00012596139071533783
73,0.37373737373737376,0.5106951871657754,0.00013151237906406456
74,0.11868686868686869,0.22192513368983957,0.00013376690417121954
75,0.30303030303030304,0.4358288770053476,0.00013490132543334302
76,0.35353535353535354,0.4893048128342246,0.00013726461848970322
77,0.2196969696969697,0.3422459893048128,0.0001531660579169359
78,0.05808080808080808,0.13903743315508021,0.00015438959705814154
79,0.022727272727272728,0.08288770053475936,0.0001721044851772709
80,0.4671717171717172,0.6016042780748663,0.00018838699709997027
81,0.24494949494949494,0.3689839572192513,0.00018923534703471807
82,0.03787878787878788,0.10695187165775401,0.00020169785033591166
83,0.1919191919191919,0.3074866310160428,0.00020847357574225547
84,0.1717171717171717,0.28342245989304815,0.00021419520635452164
85,0.7424242424242424,0.8502673796791443,0.00021483410990332235
86,0.2702020202020202,0.39572192513368987,0.00021880193675684272
87,0.39141414141414144,0.5240641711229946,0.0002231712286754685
88,0.3055555555555556,0.43315508021390375,0.0002445713506516109
89,0.05303030303030303,0.12834224598930483,0.00025802225084405864
