,Property,Value,Group,Cohort,Level
95,Edge,23.0,control,ZellerG_2014,phylum
96,density,0.5151515151515151,control,ZellerG_2014,phylum
97,transitivity,0.5206611570247934,control,ZellerG_2014,phylum
98,algebraic_connectivity,1.0000000000000089,control,ZellerG_2014,phylum
99,assortativity,-0.3662578182113567,control,ZellerG_2014,phylum
100,Node,12.0,control,ZellerG_2014,phylum
101,Edge,34.0,control,ZellerG_2014,phylum
102,density,0.48484848484848486,control,ZellerG_2014,phylum
103,transitivity,0.6690647482014388,control,ZellerG_2014,phylum
104,algebraic_connectivity,0.8103947051649619,control,ZellerG_2014,phylum
105,assortativity,-0.5254732603825061,control,ZellerG_2014,phylum
106,Node,12.0,control,ZellerG_2014,phylum
107,Edge,32.0,control,ZellerG_2014,phylum
108,density,0.6111111111111112,CRC,ZellerG_2014,phylum
109,transitivity,0.631578947368421,CRC,ZellerG_2014,phylum
110,algebraic_connectivity,0.9268678664796642,CRC,ZellerG_2014,phylum
111,assortativity,-0.14591651542649753,CRC,ZellerG_2014,phylum
112,Node,9.0,CRC,ZellerG_2014,phylum
113,Edge,22.0,CRC,ZellerG_2014,phylum
114,density,0.38461538461538464,CRC,ZellerG_2014,phylum
115,transitivity,0.3333333333333333,CRC,ZellerG_2014,phylum
116,algebraic_connectivity,0.924332231727494,CRC,ZellerG_2014,phylum
117,assortativity,-0.41005022510214184,CRC,ZellerG_2014,phylum
118,Node,13.0,CRC,ZellerG_2014,phylum
119,Edge,30.0,CRC,ZellerG_2014,phylum
120,density,0.3333333333333333,control,ZellerG_2014,phylum
121,transitivity,0.3037974683544304,control,ZellerG_2014,phylum
122,algebraic_connectivity,0.7945882746894251,control,ZellerG_2014,phylum
123,assortativity,-0.6540008940545367,control,ZellerG_2014,phylum
124,Node,12.0,control,ZellerG_2014,phylum
125,Edge,22.0,control,ZellerG_2014,phylum
126,density,0.43636363636363634,CRC,ZellerG_2014,phylum
127,transitivity,0.3333333333333333,CRC,ZellerG_2014,phylum
128,algebraic_connectivity,0.0,CRC,ZellerG_2014,phylum
129,assortativity,-0.36641221374045846,CRC,ZellerG_2014,phylum
130,Node,11.0,CRC,ZellerG_2014,phylum
131,Edge,24.0,CRC,ZellerG_2014,phylum
132,density,0.5151515151515151,CRC,ZellerG_2014,phylum
133,transitivity,0.7100591715976331,CRC,ZellerG_2014,phylum
134,algebraic_connectivity,1.0000000000000013,CRC,ZellerG_2014,phylum
135,assortativity,-0.5579598145285924,CRC,ZellerG_2014,phylum
136,Node,12.0,CRC,ZellerG_2014,phylum
137,Edge,34.0,CRC,ZellerG_2014,phylum
138,density,0.38095238095238093,control,ZellerG_2014,phylum
139,transitivity,0.4794520547945205,control,ZellerG_2014,phylum
140,algebraic_connectivity,0.8608225625193925,control,ZellerG_2014,phylum
141,assortativity,-0.6233659368346032,control,ZellerG_2014,phylum
142,Node,15.0,control,ZellerG_2014,phylum
143,Edge,40.0,control,ZellerG_2014,phylum
144,density,0.4696969696969697,control,ZellerG_2014,phylum
145,transitivity,0.5546218487394958,control,ZellerG_2014,phylum
146,algebraic_connectivity,0.7608853092315931,control,ZellerG_2014,phylum
147,assortativity,-0.468391202102643,control,ZellerG_2014,phylum
148,Node,12.0,control,ZellerG_2014,phylum
149,Edge,31.0,control,ZellerG_2014,phylum
150,density,0.48484848484848486,control,ZellerG_2014,phylum
151,transitivity,0.55,control,ZellerG_2014,phylum
152,algebraic_connectivity,0.8103947051649621,control,ZellerG_2014,phylum
153,assortativity,-0.4422945595265209,control,ZellerG_2014,phylum
154,Node,12.0,control,ZellerG_2014,phylum
155,Edge,32.0,control,ZellerG_2014,phylum
156,density,0.45454545454545453,control,ZellerG_2014,phylum
157,transitivity,0.3786407766990291,control,ZellerG_2014,phylum
158,algebraic_connectivity,0.8447819301309771,control,ZellerG_2014,phylum
159,assortativity,-0.5241528960106833,control,ZellerG_2014,phylum
160,Node,12.0,control,ZellerG_2014,phylum
161,Edge,30.0,control,ZellerG_2014,phylum
162,density,0.40350877192982454,CRC,ZellerG_2014,phylum
163,transitivity,0.5760869565217391,CRC,ZellerG_2014,phylum
164,algebraic_connectivity,0.9413786156882809,CRC,ZellerG_2014,phylum
165,assortativity,-0.589834326447035,CRC,ZellerG_2014,phylum
166,Node,19.0,CRC,ZellerG_2014,phylum
167,Edge,69.0,CRC,ZellerG_2014,phylum
168,density,0.2761904761904762,control,ZellerG_2014,phylum
169,transitivity,0.21686746987951808,control,ZellerG_2014,phylum
170,algebraic_connectivity,0.5214536167250816,control,ZellerG_2014,phylum
171,assortativity,-0.3611807438481607,control,ZellerG_2014,phylum
172,Node,15.0,control,ZellerG_2014,phylum
173,Edge,29.0,control,ZellerG_2014,phylum
174,density,0.4380952380952381,control,ZellerG_2014,phylum
175,transitivity,0.4959677419354839,control,ZellerG_2014,phylum
176,algebraic_connectivity,1.0000000000000133,control,ZellerG_2014,phylum
177,assortativity,-0.5507446713635964,control,ZellerG_2014,phylum
178,Node,15.0,control,ZellerG_2014,phylum
179,Edge,46.0,control,ZellerG_2014,phylum
180,density,0.4835164835164835,CRC,ZellerG_2014,phylum
181,transitivity,0.4772727272727273,CRC,ZellerG_2014,phylum
182,algebraic_connectivity,1.0000000000000064,CRC,ZellerG_2014,phylum
183,assortativity,-0.49466553455404866,CRC,ZellerG_2014,phylum
184,Node,14.0,CRC,ZellerG_2014,phylum
185,Edge,44.0,CRC,ZellerG_2014,phylum
186,density,0.34615384615384615,CRC,ZellerG_2014,phylum
187,transitivity,0.3225806451612903,CRC,ZellerG_2014,phylum
188,algebraic_connectivity,0.7925347526822029,CRC,ZellerG_2014,phylum
189,assortativity,-0.49271950475194,CRC,ZellerG_2014,phylum
190,Node,13.0,CRC,ZellerG_2014,phylum
191,Edge,27.0,CRC,ZellerG_2014,phylum
192,density,0.5151515151515151,CRC,ZellerG_2014,phylum
193,transitivity,0.5142857142857142,CRC,ZellerG_2014,phylum
194,algebraic_connectivity,1.0000000000000093,CRC,ZellerG_2014,phylum
195,assortativity,-0.5344207907105332,CRC,ZellerG_2014,phylum
196,Node,12.0,CRC,ZellerG_2014,phylum
197,Edge,34.0,CRC,ZellerG_2014,phylum
198,density,0.4,control,ZellerG_2014,phylum
199,transitivity,0.30434782608695654,control,ZellerG_2014,phylum
200,algebraic_connectivity,1.0000000000000067,control,ZellerG_2014,phylum
201,assortativity,-0.6031276992317144,control,ZellerG_2014,phylum
