,Bases,Group,Cohort
187,6926623274.0,CRC,YachidaS_2019
188,6001676288.0,control,YachidaS_2019
189,4701732700.0,control,YachidaS_2019
190,4990905572.0,CRC,YachidaS_2019
191,8462198734.0,CRC,YachidaS_2019
192,3640483934.0,CRC,YachidaS_2019
193,5782402056.0,CRC,YuJ_2015
194,4958196559.0,CRC,YuJ_2015
195,5674034861.0,CRC,YuJ_2015
196,5343486861.0,CRC,YuJ_2015
197,6090719237.0,CRC,YuJ_2015
198,4952005733.0,CRC,YuJ_2015
199,5958738352.0,CRC,YuJ_2015
200,5634395962.0,CRC,YuJ_2015
201,5802081901.0,control,YuJ_2015
202,5848388244.0,CRC,YuJ_2015
203,6128118370.0,control,YuJ_2015
204,6312390149.0,CRC,YuJ_2015
205,5750793357.0,CRC,YuJ_2015
206,5366059753.0,CRC,YuJ_2015
207,2820598675.0,CRC,YuJ_2015
208,5593003062.0,CRC,YuJ_2015
209,5352993848.0,CRC,YuJ_2015
210,4898058708.0,CRC,YuJ_2015
211,5167203436.0,CRC,YuJ_2015
212,5260734071.0,CRC,YuJ_2015
213,5434611996.0,control,YuJ_2015
214,5963691551.0,CRC,YuJ_2015
215,4319033464.0,CRC,YuJ_2015
216,5458804627.0,CRC,YuJ_2015
217,5409995654.0,control,YuJ_2015
218,5746098424.0,CRC,YuJ_2015
219,5870370380.0,CRC,YuJ_2015
220,5620259779.0,CRC,YuJ_2015
221,5477743161.0,CRC,YuJ_2015
222,5867266433.0,CRC,YuJ_2015
223,6779395176.0,CRC,YuJ_2015
224,4324269958.0,CRC,YuJ_2015
225,5953975242.0,control,YuJ_2015
226,6116520802.0,CRC,YuJ_2015
227,7071081405.0,CRC,YuJ_2015
228,6648869146.0,CRC,YuJ_2015
229,5583533631.0,CRC,YuJ_2015
230,5490157283.0,CRC,YuJ_2015
231,6005812224.0,CRC,YuJ_2015
232,4798011366.0,CRC,YuJ_2015
233,4215741721.0,CRC,YuJ_2015
234,6659496745.0,CRC,YuJ_2015
235,7063847425.0,CRC,YuJ_2015
236,6074413096.0,CRC,YuJ_2015
237,5388058294.0,CRC,YuJ_2015
238,5805169579.0,CRC,YuJ_2015
239,5270117008.0,CRC,YuJ_2015
240,6435852633.0,control,YuJ_2015
241,6895320232.0,control,YuJ_2015
242,5938321460.0,control,YuJ_2015
243,6673610903.0,control,YuJ_2015
244,6814348601.0,control,YuJ_2015
245,6660180016.0,control,YuJ_2015
246,7024760687.0,control,YuJ_2015
247,5749744210.0,control,YuJ_2015
248,6628831167.0,control,YuJ_2015
249,6575946140.0,CRC,YuJ_2015
250,5974605135.0,control,YuJ_2015
251,6256894354.0,control,YuJ_2015
252,5934000840.0,control,YuJ_2015
253,4931948740.0,control,YuJ_2015
254,5154274247.0,control,YuJ_2015
255,5567635662.0,control,YuJ_2015
256,5725708568.0,control,YuJ_2015
257,4743989231.0,control,YuJ_2015
258,4605248434.0,control,YuJ_2015
259,5228553296.0,control,YuJ_2015
260,4284823360.0,control,YuJ_2015
261,4421327366.0,control,YuJ_2015
262,5532795294.0,control,YuJ_2015
263,4087572754.0,control,YuJ_2015
264,4378527165.0,control,YuJ_2015
265,6031404940.0,control,YuJ_2015
266,5452370978.0,control,YuJ_2015
267,5286392158.0,control,YuJ_2015
268,5913649423.0,control,YuJ_2015
269,5122974616.0,control,YuJ_2015
270,7565053111.0,control,YuJ_2015
271,5461060156.0,control,YuJ_2015
272,5409790102.0,control,YuJ_2015
273,6142339703.0,control,YuJ_2015
274,6072275849.0,control,YuJ_2015
275,4783479071.0,control,YuJ_2015
276,5705212005.0,control,YuJ_2015
277,5953705467.0,control,YuJ_2015
278,6214859452.0,control,YuJ_2015
279,5067016252.0,control,YuJ_2015
280,5847463811.0,control,YuJ_2015
281,5841330956.0,control,YuJ_2015
282,5963817711.0,control,YuJ_2015
283,4208577504.0,control,YuJ_2015
284,4325874871.0,control,YuJ_2015
285,5963396124.0,control,YuJ_2015
286,5988073670.0,control,YuJ_2015
287,6159612826.0,CRC,YuJ_2015
288,6291809354.0,CRC,YuJ_2015
289,4805566759.0,CRC,YuJ_2015
290,5300707451.0,CRC,YuJ_2015
291,4788302397.0,CRC,YuJ_2015
292,4853435538.0,CRC,YuJ_2015
293,5802726469.0,CRC,YuJ_2015
294,5228621466.0,CRC,YuJ_2015
295,3565318892.0,CRC,YuJ_2015
296,3719245972.0,CRC,YuJ_2015
297,3387430279.0,CRC,YuJ_2015
298,3694689270.0,CRC,YuJ_2015
299,3696564849.0,CRC,YuJ_2015
300,3525605588.0,CRC,YuJ_2015
301,3514766749.0,CRC,YuJ_2015
302,3836371213.0,CRC,YuJ_2015
303,4080498548.0,CRC,YuJ_2015
304,1077534564.0,CRC,YuJ_2015
305,4645971246.0,CRC,YuJ_2015
306,3592068766.0,CRC,YuJ_2015
307,4977096921.0,CRC,YuJ_2015
308,3861481843.0,CRC,YuJ_2015
309,4339363261.0,CRC,YuJ_2015
310,6454082758.0,CRC,YuJ_2015
311,5593184628.0,CRC,YuJ_2015
312,5796676630.0,CRC,YuJ_2015
313,5738342166.0,CRC,YuJ_2015
314,4855210014.0,CRC,YuJ_2015
315,4993945911.0,CRC,YuJ_2015
316,5690446732.0,control,YuJ_2015
317,5584524714.0,control,YuJ_2015
318,6469426091.0,CRC,YuJ_2015
319,5787105961.0,CRC,YuJ_2015
320,6222135039.0,CRC,YuJ_2015
321,5793273464.0,control,VogtmannE_2016
322,3764480856.0,CRC,VogtmannE_2016
323,5325670657.0,control,VogtmannE_2016
324,4746633428.0,control,VogtmannE_2016
325,6486653317.0,control,VogtmannE_2016
326,5697551532.0,CRC,VogtmannE_2016
327,5720982232.0,CRC,VogtmannE_2016
328,5165640049.0,control,VogtmannE_2016
329,4238286126.0,CRC,VogtmannE_2016
330,5337802561.0,control,VogtmannE_2016
331,6044911124.0,CRC,VogtmannE_2016
332,5623913419.0,CRC,VogtmannE_2016
333,4567726128.0,control,VogtmannE_2016
334,3665192704.0,control,VogtmannE_2016
335,351027527.0,CRC,VogtmannE_2016
336,7473988352.0,CRC,VogtmannE_2016
337,6384855556.0,CRC,VogtmannE_2016
338,6093136794.0,CRC,VogtmannE_2016
339,4035015942.0,CRC,VogtmannE_2016
340,4190960110.0,CRC,VogtmannE_2016
341,5032904033.0,CRC,VogtmannE_2016
342,4367662855.0,control,VogtmannE_2016
343,3731748843.0,control,VogtmannE_2016
344,5628908369.0,control,VogtmannE_2016
345,5572277177.0,control,VogtmannE_2016
346,3908205455.0,control,VogtmannE_2016
347,6063509780.0,CRC,VogtmannE_2016
348,7768037598.0,control,VogtmannE_2016
349,5988805029.0,CRC,VogtmannE_2016
350,5570729597.0,control,VogtmannE_2016
351,4085910732.0,CRC,VogtmannE_2016
352,5699453439.0,control,VogtmannE_2016
353,6241970109.0,CRC,VogtmannE_2016
354,5552253678.0,CRC,VogtmannE_2016
355,5657915436.0,CRC,VogtmannE_2016
356,4661241979.0,CRC,VogtmannE_2016
357,6082232011.0,control,VogtmannE_2016
358,8365936200.0,CRC,VogtmannE_2016
359,6671604868.0,CRC,VogtmannE_2016
360,5259440959.0,control,VogtmannE_2016
361,5212757345.0,control,VogtmannE_2016
362,6292002235.0,control,VogtmannE_2016
363,4060847857.0,CRC,VogtmannE_2016
364,3741842627.0,CRC,VogtmannE_2016
365,4658583485.0,control,VogtmannE_2016
366,6063034193.0,control,VogtmannE_2016
367,6219484929.0,CRC,VogtmannE_2016
368,6218351585.0,control,VogtmannE_2016
369,6285843246.0,control,VogtmannE_2016
370,5328950598.0,control,VogtmannE_2016
371,5557432761.0,control,VogtmannE_2016
372,5859991267.0,control,VogtmannE_2016
373,4082068611.0,control,VogtmannE_2016
374,4185665260.0,CRC,VogtmannE_2016
375,6496395167.0,CRC,VogtmannE_2016
376,7111161104.0,CRC,VogtmannE_2016
377,3816468984.0,CRC,VogtmannE_2016
378,5352675319.0,CRC,VogtmannE_2016
379,8347390931.0,CRC,VogtmannE_2016
380,6102492593.0,control,VogtmannE_2016
381,5982293477.0,CRC,VogtmannE_2016
382,6848280508.0,CRC,VogtmannE_2016
383,6032135552.0,control,VogtmannE_2016
384,4649737800.0,control,VogtmannE_2016
385,6279219480.0,CRC,VogtmannE_2016
386,6317074880.0,control,VogtmannE_2016
387,5498902077.0,CRC,VogtmannE_2016
388,5863306918.0,control,VogtmannE_2016
389,5554857561.0,control,VogtmannE_2016
390,5623135530.0,CRC,VogtmannE_2016
391,4201649457.0,CRC,VogtmannE_2016
392,6583392217.0,control,VogtmannE_2016
393,5395765960.0,CRC,VogtmannE_2016
394,5837169628.0,control,VogtmannE_2016
395,7252089612.0,control,VogtmannE_2016
396,6862241842.0,CRC,VogtmannE_2016
397,6225130657.0,control,VogtmannE_2016
398,6946982549.0,control,VogtmannE_2016
399,4141839835.0,CRC,VogtmannE_2016
400,4466195763.0,CRC,VogtmannE_2016
401,5672062108.0,CRC,VogtmannE_2016
402,7182289591.0,CRC,VogtmannE_2016
403,6621113804.0,CRC,VogtmannE_2016
404,6492491491.0,control,VogtmannE_2016
405,5333346730.0,control,VogtmannE_2016
406,5271237884.0,control,VogtmannE_2016
407,5357791641.0,control,VogtmannE_2016
408,6500263337.0,control,VogtmannE_2016
409,6430241030.0,control,VogtmannE_2016
410,5546605088.0,CRC,VogtmannE_2016
411,3583469911.0,control,VogtmannE_2016
412,4706882156.0,CRC,VogtmannE_2016
413,6677939705.0,CRC,VogtmannE_2016
414,6478563154.0,control,VogtmannE_2016
415,12194557586.0,CRC,VogtmannE_2016
416,3416777496.0,control,VogtmannE_2016
417,6632142593.0,CRC,VogtmannE_2016
418,5506905773.0,CRC,VogtmannE_2016
419,6016069815.0,control,VogtmannE_2016
420,5707928435.0,CRC,VogtmannE_2016
421,6039626590.0,control,VogtmannE_2016
422,4596748294.0,control,VogtmannE_2016
423,9042997520.0,control,VogtmannE_2016
424,4852225968.0,CRC,VogtmannE_2016
425,4639213592.0,control,WirbelJ_2018
426,4351849639.0,control,WirbelJ_2018
427,4227123245.0,control,WirbelJ_2018
428,5908657135.0,control,WirbelJ_2018
429,3841428856.0,control,WirbelJ_2018
430,4103990976.0,control,WirbelJ_2018
431,3184004938.0,CRC,WirbelJ_2018
432,7831308075.0,CRC,WirbelJ_2018
433,7831308075.0,CRC,WirbelJ_2018
434,7831308075.0,CRC,WirbelJ_2018
435,7831308075.0,CRC,WirbelJ_2018
436,7813872056.0,CRC,WirbelJ_2018
437,7813872056.0,CRC,WirbelJ_2018
438,7813872056.0,CRC,WirbelJ_2018
439,7813872056.0,CRC,WirbelJ_2018
440,5070894772.0,control,WirbelJ_2018
441,3243885354.0,control,WirbelJ_2018
442,4415306489.0,control,WirbelJ_2018
443,4252277902.0,control,WirbelJ_2018
444,9541781198.0,CRC,WirbelJ_2018
445,9541781198.0,CRC,WirbelJ_2018
446,9541781198.0,CRC,WirbelJ_2018
447,9541781198.0,CRC,WirbelJ_2018
448,6097470744.0,control,WirbelJ_2018
449,3969615803.0,control,WirbelJ_2018
450,5102590952.0,control,WirbelJ_2018
451,3958810630.0,control,WirbelJ_2018
452,4297110124.0,control,WirbelJ_2018
453,4597866250.0,control,WirbelJ_2018
454,3820804468.0,control,WirbelJ_2018
455,5663096176.0,control,WirbelJ_2018
456,4960369607.0,control,WirbelJ_2018
457,8156827787.0,CRC,WirbelJ_2018
458,8156827787.0,CRC,WirbelJ_2018
459,8156827787.0,CRC,WirbelJ_2018
460,8156827787.0,CRC,WirbelJ_2018
461,5191026043.0,control,WirbelJ_2018
462,5239016935.0,control,WirbelJ_2018
463,3159908625.0,control,WirbelJ_2018
464,4957102126.0,control,WirbelJ_2018
465,4897630678.0,control,WirbelJ_2018
466,3151787541.0,control,WirbelJ_2018
467,3913525742.0,control,WirbelJ_2018
468,5173146819.0,CRC,WirbelJ_2018
469,3540776312.0,control,WirbelJ_2018
470,4182724716.0,control,WirbelJ_2018
471,5310806480.0,control,WirbelJ_2018
472,6217935229.0,control,WirbelJ_2018
473,8204655954.0,CRC,WirbelJ_2018
474,8204655954.0,CRC,WirbelJ_2018
475,8204655954.0,CRC,WirbelJ_2018
476,8204655954.0,CRC,WirbelJ_2018
477,3817718694.0,control,WirbelJ_2018
478,4480077249.0,control,WirbelJ_2018
479,3707663709.0,control,WirbelJ_2018
480,2558326096.0,control,WirbelJ_2018
481,4433617601.0,control,WirbelJ_2018
482,3935858548.0,control,WirbelJ_2018
483,9269088380.0,CRC,WirbelJ_2018
484,9269088380.0,CRC,WirbelJ_2018
485,9269088380.0,CRC,WirbelJ_2018
486,9269088380.0,CRC,WirbelJ_2018
487,8721310850.0,CRC,WirbelJ_2018
488,8721310850.0,CRC,WirbelJ_2018
489,8721310850.0,CRC,WirbelJ_2018
490,8721310850.0,CRC,WirbelJ_2018
491,5716884869.0,control,WirbelJ_2018
492,3988980619.0,control,WirbelJ_2018
493,3111604953.0,control,WirbelJ_2018
494,3957955624.0,control,WirbelJ_2018
495,3219403664.0,control,WirbelJ_2018
496,9343789168.0,CRC,WirbelJ_2018
497,9343789168.0,CRC,WirbelJ_2018
498,9343789168.0,CRC,WirbelJ_2018
499,9343789168.0,CRC,WirbelJ_2018
500,7834201797.0,CRC,WirbelJ_2018
501,7834201797.0,CRC,WirbelJ_2018
502,7834201797.0,CRC,WirbelJ_2018
503,7834201797.0,CRC,WirbelJ_2018
504,3459725269.0,CRC,WirbelJ_2018
505,3900420267.0,control,WirbelJ_2018
506,5572421986.0,control,WirbelJ_2018
507,2494583830.0,control,WirbelJ_2018
508,3179743231.0,CRC,WirbelJ_2018
509,7622249125.0,CRC,WirbelJ_2018
510,7622249125.0,CRC,WirbelJ_2018
511,7622249125.0,CRC,WirbelJ_2018
512,7622249125.0,CRC,WirbelJ_2018
513,3805648978.0,control,WirbelJ_2018
514,7178248892.0,CRC,WirbelJ_2018
515,7178248892.0,CRC,WirbelJ_2018
516,7178248892.0,CRC,WirbelJ_2018
517,7178248892.0,CRC,WirbelJ_2018
518,3521399599.0,control,WirbelJ_2018
519,5875509377.0,control,WirbelJ_2018
520,2518357317.0,control,WirbelJ_2018
521,2993424790.0,CRC,WirbelJ_2018
522,4504027361.0,control,WirbelJ_2018
523,2649826307.0,CRC,WirbelJ_2018
524,1947067979.0,control,WirbelJ_2018
525,3963017409.0,control,WirbelJ_2018
526,5152729425.0,control,WirbelJ_2018
527,7093908496.0,CRC,WirbelJ_2018
528,7093908496.0,CRC,WirbelJ_2018
529,7093908496.0,CRC,WirbelJ_2018
530,7093908496.0,CRC,WirbelJ_2018
531,4866288034.0,control,WirbelJ_2018
532,4623164854.0,control,WirbelJ_2018
533,7585743831.0,CRC,WirbelJ_2018
534,7585743831.0,CRC,WirbelJ_2018
535,7585743831.0,CRC,WirbelJ_2018
536,7585743831.0,CRC,WirbelJ_2018
537,6512242541.0,control,WirbelJ_2018
538,4884486871.0,CRC,WirbelJ_2018
539,4884486871.0,CRC,WirbelJ_2018
540,4884486871.0,CRC,WirbelJ_2018
541,4884486871.0,CRC,WirbelJ_2018
542,7981205221.0,CRC,WirbelJ_2018
543,7981205221.0,CRC,WirbelJ_2018
544,7981205221.0,CRC,WirbelJ_2018
545,7981205221.0,CRC,WirbelJ_2018
546,2121016251.0,control,WirbelJ_2018
547,8588614425.0,CRC,WirbelJ_2018
548,8588614425.0,CRC,WirbelJ_2018
549,3649611221.0,CRC,FengQ_2015
550,6196998053.0,control,FengQ_2015
551,5708593447.0,control,FengQ_2015
552,4913627034.0,control,FengQ_2015
553,4803585209.0,control,FengQ_2015
554,3858680926.0,control,FengQ_2015
555,4950228947.0,CRC,FengQ_2015
556,4454783107.0,control,FengQ_2015
557,4856209896.0,CRC,FengQ_2015
558,4040075229.0,control,FengQ_2015
559,4835999683.0,CRC,FengQ_2015
560,4355968999.0,control,FengQ_2015
561,5025871310.0,CRC,FengQ_2015
562,4807739197.0,control,FengQ_2015
563,4449164619.0,CRC,FengQ_2015
564,5538869118.0,CRC,FengQ_2015
565,5454210916.0,control,FengQ_2015
566,5476469636.0,control,FengQ_2015
567,5355969959.0,control,FengQ_2015
568,4318051431.0,control,FengQ_2015
569,5060468600.0,control,FengQ_2015
570,5884167688.0,CRC,FengQ_2015
571,5959001442.0,control,FengQ_2015
572,5698703690.0,control,FengQ_2015
573,5544794381.0,control,FengQ_2015
574,5954870508.0,CRC,FengQ_2015
575,3643571766.0,control,FengQ_2015
576,4803936579.0,control,FengQ_2015
577,4386831217.0,CRC,FengQ_2015
578,5529867451.0,CRC,FengQ_2015
579,4485244293.0,control,FengQ_2015
580,4423967038.0,control,FengQ_2015
581,4469690812.0,control,FengQ_2015
582,5301119382.0,CRC,FengQ_2015
583,5103889033.0,control,FengQ_2015
584,4133028671.0,control,FengQ_2015
585,4561413328.0,CRC,FengQ_2015
586,6302536870.0,control,FengQ_2015
587,4975191066.0,control,FengQ_2015
588,5596599451.0,control,FengQ_2015
589,4789697432.0,control,FengQ_2015
590,5672618246.0,control,FengQ_2015
591,5136546089.0,control,FengQ_2015
592,3749643349.0,control,FengQ_2015
593,4340003232.0,CRC,FengQ_2015
594,3645684389.0,CRC,FengQ_2015
595,5707545180.0,CRC,FengQ_2015
596,4175944271.0,CRC,FengQ_2015
597,5554843364.0,CRC,FengQ_2015
598,6088271346.0,CRC,FengQ_2015
599,5196434410.0,CRC,FengQ_2015
600,5217458595.0,CRC,FengQ_2015
601,5697872810.0,CRC,FengQ_2015
602,5628840356.0,CRC,FengQ_2015
603,5406847458.0,CRC,FengQ_2015
604,5089989422.0,CRC,FengQ_2015
605,4631097845.0,CRC,FengQ_2015
606,5127516824.0,CRC,FengQ_2015
607,5838495526.0,CRC,FengQ_2015
608,6235486686.0,CRC,FengQ_2015
609,6833951794.0,CRC,FengQ_2015
610,3882990247.0,control,FengQ_2015
611,4075309012.0,control,FengQ_2015
612,4212719129.0,control,FengQ_2015
613,4114576752.0,control,FengQ_2015
614,4276565640.0,control,FengQ_2015
615,5327616448.0,control,FengQ_2015
616,5417863978.0,control,FengQ_2015
617,5093094520.0,control,FengQ_2015
618,4194580026.0,control,FengQ_2015
619,4755568751.0,control,FengQ_2015
620,3928814334.0,control,FengQ_2015
621,5413530573.0,control,FengQ_2015
622,3771008997.0,control,FengQ_2015
623,4525858474.0,control,FengQ_2015
624,5400290156.0,control,FengQ_2015
625,3858818427.0,control,FengQ_2015
626,4222207210.0,control,FengQ_2015
627,4127521919.0,control,FengQ_2015
628,3928554559.0,control,FengQ_2015
629,4799275613.0,CRC,FengQ_2015
630,6192238434.0,control,FengQ_2015
631,4531612102.0,control,FengQ_2015
632,5823514323.0,control,FengQ_2015
633,5471439051.0,CRC,FengQ_2015
634,4238158668.0,CRC,FengQ_2015
635,5330073760.0,CRC,FengQ_2015
636,5666299282.0,CRC,FengQ_2015
637,6932193747.0,CRC,FengQ_2015
638,4878408862.0,CRC,FengQ_2015
639,5394534000.0,CRC,FengQ_2015
640,5401200091.0,CRC,FengQ_2015
641,5997459345.0,CRC,FengQ_2015
642,4658201002.0,CRC,FengQ_2015
643,4370669263.0,CRC,FengQ_2015
644,5160814151.0,control,FengQ_2015
645,5059776250.0,CRC,FengQ_2015
646,4409439027.0,control,FengQ_2015
647,4709508874.0,CRC,FengQ_2015
648,6222651115.0,CRC,FengQ_2015
649,4032625247.0,CRC,FengQ_2015
650,5187301664.0,control,FengQ_2015
651,4754848864.0,control,FengQ_2015
652,3868696049.0,control,FengQ_2015
653,3348368467.0,control,FengQ_2015
654,4886998833.0,control,FengQ_2015
655,6818636578.0,CRC,ThomasAM_2018a
656,6006120776.0,control,ThomasAM_2018a
657,4745232212.0,CRC,ThomasAM_2018a
658,10222753176.0,CRC,ThomasAM_2018a
659,13926989396.0,CRC,ThomasAM_2018a
660,7016890308.0,control,ThomasAM_2018a
661,19642180890.0,CRC,ThomasAM_2018a
662,7936914746.0,CRC,ThomasAM_2018a
