,Events,Cohort,Group,Bases
584,198,FengQ_2015,control,4133028671.0
585,120,FengQ_2015,CRC,4561413328.0
586,306,FengQ_2015,control,6302536870.0
587,143,FengQ_2015,control,4975191066.0
588,182,FengQ_2015,control,5596599451.0
589,205,FengQ_2015,control,4789697432.0
590,388,FengQ_2015,control,5672618246.0
591,324,FengQ_2015,control,5136546089.0
592,269,FengQ_2015,control,3749643349.0
593,194,FengQ_2015,CRC,4340003232.0
594,230,FengQ_2015,CRC,3645684389.0
595,281,FengQ_2015,CRC,5707545180.0
596,173,FengQ_2015,CRC,4175944271.0
597,195,FengQ_2015,CRC,5554843364.0
598,426,FengQ_2015,CRC,6088271346.0
