,Proportion,Level,Group
0,0.4949919213424696,phylum,Inter
1,0.5050080786575304,phylum,Intra
2,0.495415060409066,class,Inter
3,0.504584939590934,class,Intra
4,0.6259357528358734,order,Inter
5,0.3740642471641266,order,Intra
6,0.7224385309016192,family,Inter
7,0.27756146909838075,family,Intra
8,0.8956214466103075,genus,Inter
9,0.10437855338969246,genus,Intra
10,0.999892712537618,species,Inter
11,0.00010728746238201266,species,Intra
