,index,distance,count,frequency
0,5,2.75,153095,0.13064586049877458
1,1,0.75,219378,0.18720942933799384
2,0,0.25,539243,0.46017091187132625
3,4,2.25,69466,0.059279828507840714
4,2,1.25,60397,0.05154066453211723
5,3,1.75,83570,0.07131568347681237
6,6,3.25,37589,0.03207712368325835
7,7,3.75,6091,0.005197844059558025
8,8,4.25,1284,0.0010957202056267451
9,9,4.75,95,8.106964138204111e-05
