,Frequency,Level
0,0.8980169971671388,phylum
1,0.9130434782608695,phylum
2,0.9313131313131313,phylum
3,0.4511910322279309,phylum
4,0.8837209302325582,phylum
5,0.9285714285714286,phylum
6,0.8892045454545454,phylum
7,0.872791519434629,phylum
8,0.8584070796460177,phylum
9,0.8493150684931506,phylum
10,0.8702064896755162,phylum
11,0.883495145631068,phylum
12,0.773109243697479,phylum
13,0.8464912280701754,phylum
14,0.9123287671232877,phylum
15,0.8848484848484849,phylum
16,0.9347826086956522,phylum
17,0.888,phylum
18,0.835820895522388,phylum
19,0.8108108108108109,phylum
20,0.49056603773584906,phylum
21,0.8938053097345132,phylum
22,0.8852459016393442,phylum
23,0.9519230769230769,phylum
24,0.8695652173913043,phylum
25,0.8249097472924187,phylum
26,0.8747591522157996,phylum
27,0.8679775280898876,phylum
28,0.8944444444444445,phylum
29,0.9418604651162791,phylum
30,0.8509615384615384,phylum
31,0.9158878504672897,phylum
32,0.8872180451127819,phylum
33,0.8822170900692841,phylum
34,0.9111498257839721,phylum
35,0.9200913242009132,phylum
36,0.9075907590759076,phylum
37,0.8571428571428571,phylum
38,0.707089552238806,phylum
39,0.9378238341968912,phylum
40,0.9150943396226415,phylum
41,0.9078947368421053,phylum
42,0.8151515151515152,phylum
43,0.9166666666666666,phylum
44,0.8926380368098159,phylum
45,0.8585858585858586,phylum
46,0.8904109589041096,phylum
47,0.893687707641196,phylum
48,0.9382716049382716,phylum
49,0.9084158415841584,phylum
50,0.8553191489361702,phylum
51,0.8733153638814016,phylum
52,0.8553615960099751,phylum
53,0.8421052631578947,phylum
54,0.9034267912772586,phylum
55,0.870722433460076,phylum
56,0.8829787234042553,phylum
57,0.8960396039603961,phylum
58,0.8373493975903614,phylum
59,0.914572864321608,phylum
60,0.9265873015873016,phylum
61,0.900709219858156,phylum
62,0.8411910669975186,phylum
63,0.8528610354223434,phylum
64,0.8840579710144928,phylum
65,0.8548387096774194,phylum
66,0.8738738738738738,phylum
67,0.8863636363636364,phylum
68,0.8355795148247979,phylum
69,0.8642857142857143,phylum
70,0.9128065395095368,phylum
71,0.905940594059406,phylum
72,0.8645320197044335,phylum
73,0.8934426229508197,phylum
74,0.8825757575757576,phylum
75,0.8737270875763747,phylum
76,0.9102564102564102,phylum
77,0.8678955453149002,phylum
78,0.8796296296296297,phylum
79,0.9238095238095239,phylum
80,0.8812949640287769,phylum
81,0.8283582089552238,phylum
82,0.851963746223565,phylum
83,0.9146919431279621,phylum
84,0.9058823529411765,phylum
85,0.9094922737306843,phylum
86,0.7954545454545454,phylum
87,0.7771260997067448,phylum
88,0.8713235294117647,phylum
89,0.8895027624309392,phylum
90,0.8458498023715415,phylum
91,0.8861788617886179,phylum
92,0.8687943262411347,phylum
93,0.7829787234042553,phylum
94,0.9080459770114943,phylum
95,0.875,phylum
96,0.7891566265060241,phylum
97,0.8752886836027713,phylum
98,0.5965583173996176,phylum
