,correlation,group
0,0.567653490312379,same
1,0.5427516743945778,same
2,0.3966623196165964,same
3,0.5699784600773948,same
4,0.5470759821840016,same
5,0.537994865624294,same
6,0.5770879826739048,same
7,0.5202275269961917,same
8,0.5362471907930961,same
9,0.5733078871342256,same
10,0.4969768590039059,same
11,0.6412584682544976,same
12,0.6623283368785768,same
13,0.6839160825868761,same
14,0.6425602027901278,same
15,0.5898792649803503,same
16,0.6826133332223547,same
17,0.4945878439458358,same
18,0.6209962163583799,same
19,0.6025977803398428,same
20,0.5702624920385005,same
21,0.5423762144110357,same
22,0.4801351165364282,same
23,0.5698263269287888,same
24,0.48189054900428835,same
25,0.5178453839253491,same
26,0.5001306993002341,same
27,0.44945872976086454,same
28,0.3844896620216966,same
29,0.5124564623574768,same
30,0.6530631093945966,same
31,0.6759252800088853,same
32,0.6224442333203457,same
33,0.5603101760415181,same
34,0.6293706317806358,same
35,0.6675692762357492,same
36,0.6333156559006522,same
37,0.5499533096579114,same
38,0.6471359810635898,same
39,0.6470310048246112,same
40,0.6076544970649282,same
41,0.6636178929527031,same
42,0.6822388829199918,same
43,0.6430906698673439,same
44,0.6685209482688255,same
45,0.6512759874579018,same
46,0.6379010873415227,same
47,0.6645756454563307,same
48,0.6755820702673792,same
49,0.6743730344582675,same
50,0.6212535386857573,same
51,0.5985931405700401,same
52,0.6010236211214298,same
53,0.69440859565943,same
54,0.6591696481293542,same
55,0.7083508816790429,same
56,0.6854879742234525,same
57,0.6506924307384094,same
58,0.6198741532904438,same
59,0.5340128800365773,same
60,0.6652003879331193,same
61,0.6776550478370414,same
62,0.7066116244215708,same
63,0.6932513552935469,same
64,0.6567251389047599,same
65,0.6429176605188607,same
66,0.582904748586238,same
67,0.6390303892521098,same
68,0.6104467090400495,same
69,0.6722837959512595,same
70,0.6822754620085895,same
71,0.6158737292133717,same
72,0.6185410700874533,same
73,0.5798206348079893,same
74,0.7181177465208538,same
75,0.657077751347717,same
76,0.6798862436789597,same
77,0.5777420270672563,same
78,0.6834940987165982,same
79,0.7209052555030491,same
80,0.6575434142170824,same
81,0.6213853451168563,same
82,0.6278228421018167,same
83,0.6488284567063297,same
84,0.6726897829623466,same
85,0.5913728922105348,same
86,0.5777014507430597,same
87,0.5968256248831477,same
88,0.484277568195362,same
89,0.4802601645553876,same
90,0.4254751506524011,same
91,0.43479368753538405,same
92,0.5310189990518484,same
93,0.4280472439726473,same
94,0.3522665120952842,same
95,0.22414174254295618,same
96,0.3858211639448452,same
97,0.513172965462804,same
98,0.7428373977737386,same
99,0.7292999744958866,same
100,0.6821032089689668,same
101,0.6824571446432647,same
102,0.5951623219006904,same
103,0.5635020493894707,same
104,0.6210588565913884,same
105,0.6972751570498915,same
106,0.7235205147154883,same
107,0.657625316811094,same
108,0.7047935951485957,same
109,0.5933138189987295,same
110,0.5475532914109306,same
111,0.6393731393797176,same
112,0.6559660096076355,same
113,0.662870602112947,same
114,0.6652282024994386,same
115,0.5829385649218006,same
116,0.507575144169476,same
117,0.6134067894807709,same
118,0.6411176831137682,same
119,0.6411153814303808,same
120,0.5592629677563906,same
121,0.46697668835459594,same
122,0.56666255570549,same
123,0.6126075679247958,same
124,0.5522349262939519,same
125,0.5359009564746228,same
