,Microhomology,Group
318,0,HGT_Junction
319,4,Expected
320,0,HGT_Junction
321,0,Expected
322,4,HGT_Junction
323,1,Expected
324,1,HGT_Junction
325,6,Expected
326,2,HGT_Junction
327,3,Expected
328,1,HGT_Junction
329,0,Expected
330,7,HGT_Junction
331,10,Expected
332,1,HGT_Junction
333,1,Expected
334,20,HGT_Junction
335,0,Expected
336,16,HGT_Junction
337,0,Expected
338,0,HGT_Junction
339,2,Expected
340,1,HGT_Junction
341,0,Expected
342,0,HGT_Junction
343,1,Expected
344,20,HGT_Junction
345,1,Expected
346,0,HGT_Junction
347,1,Expected
348,0,HGT_Junction
349,0,Expected
350,11,HGT_Junction
351,4,Expected
352,1,HGT_Junction
353,0,Expected
354,0,HGT_Junction
355,1,Expected
356,0,HGT_Junction
357,0,Expected
358,7,HGT_Junction
359,10,Expected
360,0,HGT_Junction
361,1,Expected
362,0,HGT_Junction
363,1,Expected
364,0,HGT_Junction
365,1,Expected
366,2,HGT_Junction
367,0,Expected
368,0,HGT_Junction
369,0,Expected
370,1,HGT_Junction
371,0,Expected
372,18,HGT_Junction
373,1,Expected
374,0,HGT_Junction
375,1,Expected
376,20,HGT_Junction
377,0,Expected
378,5,HGT_Junction
379,1,Expected
380,0,HGT_Junction
381,0,Expected
382,1,HGT_Junction
383,0,Expected
384,0,HGT_Junction
385,1,Expected
386,1,HGT_Junction
387,0,Expected
388,1,HGT_Junction
389,0,Expected
390,2,HGT_Junction
391,0,Expected
392,2,HGT_Junction
393,0,Expected
394,1,HGT_Junction
395,1,Expected
396,1,HGT_Junction
397,0,Expected
398,1,HGT_Junction
399,1,Expected
400,2,HGT_Junction
401,1,Expected
402,2,HGT_Junction
403,1,Expected
404,6,HGT_Junction
405,0,Expected
406,0,HGT_Junction
407,1,Expected
408,0,HGT_Junction
409,1,Expected
410,5,HGT_Junction
411,0,Expected
412,1,HGT_Junction
413,2,Expected
414,17,HGT_Junction
415,7,Expected
416,20,HGT_Junction
417,4,Expected
418,0,HGT_Junction
419,0,Expected
420,1,HGT_Junction
421,0,Expected
422,3,HGT_Junction
423,0,Expected
424,0,HGT_Junction
425,1,Expected
426,1,HGT_Junction
427,2,Expected
428,0,HGT_Junction
429,0,Expected
430,0,HGT_Junction
431,0,Expected
432,10,HGT_Junction
433,1,Expected
434,2,HGT_Junction
435,2,Expected
436,1,HGT_Junction
437,0,Expected
438,7,HGT_Junction
439,0,Expected
440,0,HGT_Junction
441,4,Expected
442,0,HGT_Junction
443,2,Expected
444,1,HGT_Junction
445,0,Expected
446,11,HGT_Junction
447,0,Expected
448,3,HGT_Junction
449,1,Expected
450,0,HGT_Junction
451,4,Expected
452,1,HGT_Junction
453,9,Expected
454,11,HGT_Junction
455,2,Expected
456,2,HGT_Junction
457,0,Expected
458,1,HGT_Junction
459,1,Expected
460,0,HGT_Junction
461,0,Expected
462,0,HGT_Junction
463,1,Expected
464,1,HGT_Junction
465,1,Expected
466,0,HGT_Junction
467,0,Expected
468,7,HGT_Junction
469,1,Expected
470,0,HGT_Junction
471,0,Expected
472,0,HGT_Junction
473,5,Expected
474,1,HGT_Junction
475,0,Expected
476,0,HGT_Junction
477,6,Expected
478,0,HGT_Junction
479,1,Expected
480,0,HGT_Junction
481,1,Expected
482,2,HGT_Junction
483,1,Expected
484,8,HGT_Junction
485,0,Expected
486,0,HGT_Junction
487,1,Expected
488,1,HGT_Junction
489,1,Expected
490,4,HGT_Junction
491,2,Expected
