	sample	HGT_count	level	group
251	117	118	1	control
252	136	143	1	CRC
253	137	143	1	CRC
254	118	118	1	control
255	119	120	1	control
256	138	143	1	CRC
257	120	120	1	control
258	139	145	1	CRC
259	121	120	1	control
260	122	120	1	control
261	140	145	1	CRC
262	141	145	1	CRC
263	142	145	1	CRC
264	143	145	1	CRC
265	144	145	1	CRC
266	145	145	1	CRC
267	146	146	1	CRC
268	147	146	1	CRC
269	148	146	1	CRC
270	123	120	1	control
271	124	122	1	control
272	125	123	1	control
273	149	146	1	CRC
274	126	123	1	control
275	127	123	1	control
276	150	146	1	CRC
277	151	146	1	CRC
278	128	125	1	control
279	152	146	1	CRC
280	129	125	1	control
281	153	146	1	CRC
282	130	125	1	control
283	154	146	1	CRC
284	131	125	1	control
285	155	146	1	CRC
286	132	125	1	control
287	133	125	1	control
288	134	125	1	control
289	156	146	1	CRC
290	135	125	1	control
291	136	126	1	control
292	137	126	1	control
293	157	146	1	CRC
294	158	147	1	CRC
295	138	126	1	control
296	139	126	1	control
297	140	126	1	control
298	141	126	1	control
299	159	147	1	CRC
300	160	147	1	CRC
301	161	147	1	CRC
302	162	147	1	CRC
303	142	126	1	control
304	163	147	1	CRC
305	164	147	1	CRC
306	165	148	1	CRC
307	143	127	1	control
308	166	148	1	CRC
309	167	148	1	CRC
310	168	148	1	CRC
311	169	148	1	CRC
312	170	148	1	CRC
313	144	128	1	control
314	145	128	1	control
315	146	128	1	control
316	171	148	1	CRC
317	147	128	1	control
318	148	129	1	control
319	149	129	1	control
320	172	148	1	CRC
321	150	129	1	control
322	151	129	1	control
323	152	129	1	control
324	173	148	1	CRC
325	153	129	1	control
326	154	130	1	control
327	155	130	1	control
328	156	130	1	control
329	157	130	1	control
330	158	130	1	control
331	174	148	1	CRC
332	175	148	1	CRC
333	176	148	1	CRC
334	177	148	1	CRC
335	159	130	1	control
336	160	130	1	control
337	161	130	1	control
338	162	130	1	control
339	178	148	1	CRC
340	163	130	1	control
341	164	130	1	control
342	179	161	1	CRC
343	180	161	1	CRC
344	181	161	1	CRC
345	182	161	1	CRC
346	183	161	1	CRC
347	184	161	1	CRC
348	185	161	1	CRC
349	165	130	1	control
350	166	133	1	control
351	167	133	1	control
352	186	161	1	CRC
353	187	161	1	CRC
354	168	134	1	control
355	188	161	1	CRC
356	169	134	1	control
357	170	134	1	control
358	171	134	1	control
359	189	165	1	CRC
360	172	134	1	control
361	190	165	1	CRC
362	191	165	1	CRC
363	192	165	1	CRC
364	193	165	1	CRC
365	194	165	1	CRC
366	195	165	1	CRC
367	173	134	1	control
368	174	134	1	control
369	175	134	1	control
370	176	134	1	control
371	196	165	1	CRC
372	197	165	1	CRC
373	177	134	1	control
374	178	134	1	control
375	198	165	1	CRC
376	179	135	1	control
377	180	135	1	control
378	199	165	1	CRC
379	200	165	1	CRC
380	181	135	1	control
381	201	165	1	CRC
382	182	135	1	control
383	183	135	1	control
384	184	135	1	control
385	185	135	1	control
386	186	135	1	control
387	187	135	1	control
388	188	135	1	control
389	189	137	1	control
390	202	165	1	CRC
391	190	137	1	control
392	191	139	1	control
393	203	165	1	CRC
394	192	139	1	control
395	204	165	1	CRC
396	193	139	1	control
397	194	139	1	control
398	205	165	1	CRC
399	195	139	1	control
400	206	165	1	CRC
401	207	165	1	CRC
402	196	140	1	control
403	197	140	1	control
404	208	165	1	CRC
405	209	165	1	CRC
406	210	165	1	CRC
407	211	165	1	CRC
408	212	165	1	CRC
409	198	140	1	control
410	199	141	1	control
411	213	165	1	CRC
412	200	141	1	control
413	214	165	1	CRC
414	201	141	1	control
415	202	141	1	control
416	203	141	1	control
417	204	141	1	control
418	215	165	1	CRC
419	205	141	1	control
420	216	165	1	CRC
421	217	165	1	CRC
422	206	141	1	control
423	218	165	1	CRC
424	219	165	1	CRC
425	207	141	1	control
426	208	141	1	control
427	209	141	1	control
428	220	165	1	CRC
429	210	141	1	control
430	211	141	1	control
431	212	141	1	control
432	213	141	1	control
433	221	165	1	CRC
434	214	141	1	control
435	215	141	1	control
436	216	141	1	control
437	217	141	1	control
438	222	165	1	CRC
439	223	165	1	CRC
440	218	141	1	control
441	224	165	1	CRC
442	225	165	1	CRC
443	219	141	1	control
444	220	142	1	control
445	226	165	1	CRC
446	227	165	1	CRC
447	221	142	1	control
448	228	165	1	CRC
449	229	165	1	CRC
450	222	142	1	control
451	230	165	1	CRC
452	231	165	1	CRC
453	223	142	1	control
454	224	142	1	control
455	232	165	1	CRC
456	225	142	1	control
457	226	142	1	control
458	233	165	1	CRC
459	227	142	1	control
460	234	165	1	CRC
461	228	142	1	control
462	235	165	1	CRC
463	229	142	1	control
464	236	165	1	CRC
465	237	165	1	CRC
466	238	165	1	CRC
467	230	142	1	control
468	239	165	1	CRC
469	240	165	1	CRC
470	241	165	1	CRC
471	231	142	1	control
472	242	165	1	CRC
473	243	165	1	CRC
474	232	142	1	control
475	233	142	1	control
476	234	142	1	control
477	235	142	1	control
478	236	142	1	control
479	244	165	1	CRC
480	237	142	1	control
481	238	142	1	control
482	239	142	1	control
483	245	165	1	CRC
484	240	142	1	control
485	246	165	1	CRC
486	247	165	1	CRC
487	248	165	1	CRC
488	241	142	1	control
489	242	142	1	control
490	243	142	1	control
491	249	165	1	CRC
492	244	142	1	control
493	250	165	1	CRC
494	245	142	1	control
495	246	142	1	control
496	251	165	1	CRC
497	252	165	1	CRC
498	253	165	1	CRC
499	254	165	1	CRC
500	255	165	1	CRC
501	256	165	1	CRC
502	247	143	1	control
503	257	165	1	CRC
504	248	143	1	control
505	249	143	1	control
506	258	165	1	CRC
507	250	143	1	control
508	251	143	1	control
509	252	143	1	control
510	253	143	1	control
511	259	165	1	CRC
512	260	165	1	CRC
513	254	143	1	control
514	261	165	1	CRC
515	255	143	1	control
516	262	165	1	CRC
517	263	165	1	CRC
518	264	165	1	CRC
519	256	143	1	control
520	257	143	1	control
521	265	165	1	CRC
522	258	143	1	control
523	266	165	1	CRC
524	267	165	1	CRC
525	268	165	1	CRC
526	259	143	1	control
527	260	143	1	control
528	269	165	1	CRC
529	270	165	1	CRC
530	261	143	1	control
531	271	165	1	CRC
532	272	165	1	CRC
533	262	143	1	control
534	273	166	1	CRC
535	263	143	1	control
536	274	166	1	CRC
537	275	166	1	CRC
538	276	166	1	CRC
539	264	143	1	control
540	277	166	1	CRC
541	278	166	1	CRC
542	279	166	1	CRC
543	265	143	1	control
544	266	143	1	control
545	280	166	1	CRC
546	267	143	1	control
547	281	166	1	CRC
548	268	143	1	control
549	269	143	1	control
550	270	143	1	control
551	282	166	1	CRC
552	271	143	1	control
553	272	143	1	control
554	273	143	1	control
555	274	143	1	control
556	275	143	1	control
557	276	143	1	control
558	283	167	1	CRC
559	284	167	1	CRC
560	277	143	1	control
561	278	143	1	control
562	285	167	1	CRC
563	279	143	1	control
564	280	143	1	control
565	286	167	1	CRC
566	281	143	1	control
567	287	167	1	CRC
568	282	143	1	control
569	288	167	1	CRC
570	289	167	1	CRC
571	283	143	1	control
572	290	167	1	CRC
573	284	143	1	control
574	285	143	1	control
575	286	143	1	control
576	291	167	1	CRC
577	287	143	1	control
578	292	167	1	CRC
579	288	143	1	control
580	289	143	1	control
581	290	143	1	control
582	291	143	1	control
583	293	167	1	CRC
584	292	143	1	control
585	293	143	1	control
586	294	167	1	CRC
587	294	143	1	control
588	295	167	1	CRC
589	296	167	1	CRC
590	295	143	1	control
591	297	167	1	CRC
592	298	167	1	CRC
593	296	143	1	control
594	299	168	1	CRC
595	300	168	1	CRC
596	297	143	1	control
597	298	143	1	control
598	299	143	1	control
599	300	143	1	control
600	301	168	1	CRC
601	302	168	1	CRC
602	303	168	1	CRC
