,jaccard,group
0,0.32857142857142857,same
1,0.3188405797101449,same
2,0.23376623376623376,same
3,0.20689655172413793,same
4,0.28846153846153844,same
5,0.23809523809523808,same
6,0.21518987341772153,same
7,0.26436781609195403,same
8,0.3372093023255814,same
9,0.30952380952380953,same
10,0.25274725274725274,same
11,0.17105263157894737,same
12,0.2463768115942029,same
13,0.12698412698412698,same
14,0.25,same
15,0.29,same
16,0.3137254901960784,same
17,0.4358974358974359,same
18,0.14473684210526316,same
19,0.2,same
20,0.078125,same
21,0.2988505747126437,same
22,0.29591836734693877,same
23,0.32,same
24,0.16666666666666666,same
25,0.1891891891891892,same
26,0.057971014492753624,same
27,0.2857142857142857,same
28,0.32323232323232326,same
29,0.3333333333333333,same
30,0.3404255319148936,same
31,0.2631578947368421,same
32,0.1794871794871795,same
33,0.16483516483516483,same
34,0.24719101123595505,same
35,0.2857142857142857,same
36,0.2361111111111111,same
37,0.24096385542168675,same
38,0.2857142857142857,same
39,0.07246376811594203,same
40,0.08641975308641975,same
41,0.09411764705882353,same
42,0.43478260869565216,same
43,0.4421052631578947,same
44,0.49504950495049505,same
45,0.26666666666666666,same
46,0.32432432432432434,same
47,0.20833333333333334,same
48,0.23684210526315788,same
49,0.3157894736842105,same
50,0.20689655172413793,same
51,0.3611111111111111,same
52,0.2647058823529412,same
53,0.30303030303030304,same
54,0.34545454545454546,same
55,0.3387096774193548,same
56,0.2413793103448276,same
57,0.3157894736842105,same
58,0.28378378378378377,same
59,0.34545454545454546,same
60,0.2830188679245283,same
61,0.3333333333333333,same
62,0.3392857142857143,same
63,0.3333333333333333,same
64,0.34,same
65,0.359375,same
66,0.43478260869565216,same
67,0.2765957446808511,same
68,0.36363636363636365,same
69,0.2807017543859649,same
70,0.38181818181818183,same
71,0.2972972972972973,same
72,0.3888888888888889,same
73,0.35294117647058826,same
74,0.35294117647058826,same
75,0.3541666666666667,same
76,0.3076923076923077,same
77,0.3333333333333333,same
78,0.28888888888888886,same
79,0.28888888888888886,same
80,0.41935483870967744,same
81,0.4888888888888889,same
82,0.4186046511627907,same
83,0.38636363636363635,same
84,0.45,same
85,0.3728813559322034,same
86,0.265625,same
87,0.4634146341463415,same
88,0.36363636363636365,same
89,0.3170731707317073,same
90,0.3181818181818182,same
91,0.2857142857142857,same
92,0.125,same
93,0.4,same
94,0.15789473684210525,same
95,0.2962962962962963,same
96,0.19230769230769232,same
97,0.23809523809523808,same
98,0.15,same
99,0.30434782608695654,same
100,0.30434782608695654,same
101,0.2916666666666667,same
102,0.3055555555555556,same
103,0.26666666666666666,same
104,0.21428571428571427,same
105,0.20833333333333334,same
106,0.3,same
107,0.2727272727272727,same
108,0.3181818181818182,same
109,0.18421052631578946,same
110,0.2413793103448276,same
111,0.23076923076923078,same
112,0.17391304347826086,same
113,0.2,same
114,0.20833333333333334,same
115,0.2857142857142857,same
116,0.2,same
117,0.28,same
118,0.22727272727272727,same
119,0.2631578947368421,same
120,0.24324324324324326,same
121,0.4230769230769231,same
122,0.32,same
123,0.2727272727272727,same
124,0.13636363636363635,same
125,0.20454545454545456,same
126,0.225,same
127,0.1891891891891892,same
128,0.24242424242424243,same
129,0.2903225806451613,same
130,0.25,same
131,0.14285714285714285,same
132,0.2916666666666667,same
133,0.2727272727272727,same
134,0.2777777777777778,same
135,0.3939393939393939,same
136,0.19444444444444445,same
137,0.5,same
138,0.39285714285714285,same
139,0.27586206896551724,same
140,0.4642857142857143,same
141,0.36666666666666664,same
142,0.375,same
143,0.34375,same
144,0.5,same
145,0.42857142857142855,same
146,0.46875,same
147,0.40625,same
148,0.4,same
149,0.4,same
150,0.3684210526315789,same
151,0.4166666666666667,same
152,0.2702702702702703,same
153,0.2571428571428571,same
154,0.3548387096774194,same
155,0.21052631578947367,same
156,0.2777777777777778,same
157,0.1951219512195122,same
158,0.2631578947368421,same
159,0.3870967741935484,same
160,0.3225806451612903,same
161,0.45161290322580644,same
162,0.40625,same
163,0.4117647058823529,same
164,0.42424242424242425,same
165,0.3103448275862069,same
166,0.4,same
167,0.3548387096774194,same
168,0.36363636363636365,same
169,0.3333333333333333,same
170,0.42857142857142855,same
171,0.2903225806451613,same
172,0.30303030303030304,same
173,0.4,same
174,0.375,same
175,0.42424242424242425,same
176,0.4838709677419355,same
177,0.38235294117647056,same
178,0.35294117647058826,same
179,0.4411764705882353,same
180,0.21153846153846154,same
181,0.2777777777777778,same
182,0.36363636363636365,same
183,0.2830188679245283,same
184,0.2631578947368421,same
185,0.22857142857142856,same
186,0.31666666666666665,same
187,0.21428571428571427,same
188,0.3076923076923077,same
189,0.3469387755102041,same
190,0.2631578947368421,same
191,0.25,same
192,0.3269230769230769,same
193,0.23880597014925373,same
194,0.26666666666666666,same
195,0.20588235294117646,same
196,0.28125,same
197,0.3448275862068966,same
198,0.22413793103448276,same
199,0.3392857142857143,same
200,0.2535211267605634,same
201,0.24242424242424243,same
202,0.23943661971830985,same
203,0.2222222222222222,same
204,0.26229508196721313,same
205,0.3064516129032258,same
206,0.21794871794871795,same
207,0.29411764705882354,same
208,0.36231884057971014,same
209,0.40298507462686567,same
210,0.1935483870967742,same
211,0.14285714285714285,same
212,0.2857142857142857,same
213,0.20833333333333334,same
214,0.29850746268656714,same
215,0.2602739726027397,same
216,0.2878787878787879,same
217,0.19736842105263158,same
218,0.2638888888888889,same
219,0.3026315789473684,same
220,0.19318181818181818,same
221,0.22093023255813954,same
222,0.2564102564102564,same
223,0.42028985507246375,same
224,0.4444444444444444,same
225,0.34328358208955223,same
226,0.3333333333333333,same
227,0.2777777777777778,same
228,0.3770491803278688,same
229,0.21875,same
230,0.37142857142857144,same
231,0.3770491803278688,same
232,0.3333333333333333,same
233,0.19117647058823528,same
234,0.32142857142857145,same
235,0.3,same
236,0.42857142857142855,same
