,Ratio,Group,cohort
138,0.7049180327868853,control,ZellerG_2014
139,0.5660377358490566,CRC,ZellerG_2014
140,0.4918032786885246,control,ZellerG_2014
141,0.32075471698113206,CRC,ZellerG_2014
142,0.8360655737704918,control,ZellerG_2014
143,0.6226415094339622,CRC,ZellerG_2014
144,0.5901639344262295,control,ZellerG_2014
145,0.4339622641509434,CRC,ZellerG_2014
146,0.19672131147540983,control,ZellerG_2014
147,0.11320754716981132,CRC,ZellerG_2014
148,0.3770491803278688,control,ZellerG_2014
149,0.2641509433962264,CRC,ZellerG_2014
150,0.7868852459016393,control,ZellerG_2014
151,0.5094339622641509,CRC,ZellerG_2014
152,0.7540983606557377,control,ZellerG_2014
153,0.6226415094339622,CRC,ZellerG_2014
154,0.47540983606557374,control,ZellerG_2014
155,0.41509433962264153,CRC,ZellerG_2014
156,0.7704918032786885,control,ZellerG_2014
157,0.4716981132075472,CRC,ZellerG_2014
158,0.5081967213114754,control,ZellerG_2014
159,0.33962264150943394,CRC,ZellerG_2014
160,0.06557377049180328,control,ZellerG_2014
161,0.018867924528301886,CRC,ZellerG_2014
162,0.29508196721311475,control,ZellerG_2014
163,0.2641509433962264,CRC,ZellerG_2014
164,0.7213114754098361,control,ZellerG_2014
165,0.5471698113207547,CRC,ZellerG_2014
166,0.5901639344262295,control,ZellerG_2014
167,0.41509433962264153,CRC,ZellerG_2014
168,0.3114754098360656,control,ZellerG_2014
169,0.1509433962264151,CRC,ZellerG_2014
170,0.03278688524590164,control,ZellerG_2014
171,0.09433962264150944,CRC,ZellerG_2014
172,0.11475409836065574,control,ZellerG_2014
173,0.03773584905660377,CRC,ZellerG_2014
174,0.19672131147540983,control,ZellerG_2014
175,0.07547169811320754,CRC,ZellerG_2014
176,0.6065573770491803,control,ZellerG_2014
177,0.5660377358490566,CRC,ZellerG_2014
178,0.39344262295081966,control,ZellerG_2014
179,0.18867924528301888,CRC,ZellerG_2014
180,0.39344262295081966,control,ZellerG_2014
181,0.20754716981132076,CRC,ZellerG_2014
182,0.04918032786885246,control,ZellerG_2014
183,0.05660377358490566,CRC,ZellerG_2014
184,0.13114754098360656,control,ZellerG_2014
185,0.1320754716981132,CRC,ZellerG_2014
186,0.14754098360655737,control,ZellerG_2014
187,0.09433962264150944,CRC,ZellerG_2014
188,0.3114754098360656,control,ZellerG_2014
189,0.1509433962264151,CRC,ZellerG_2014
190,0.11475409836065574,control,ZellerG_2014
191,0.07547169811320754,CRC,ZellerG_2014
192,0.819672131147541,control,ZellerG_2014
193,0.4339622641509434,CRC,ZellerG_2014
194,0.6065573770491803,control,ZellerG_2014
195,0.3018867924528302,CRC,ZellerG_2014
196,0.8360655737704918,control,ZellerG_2014
197,0.5471698113207547,CRC,ZellerG_2014
198,0.08196721311475409,control,ZellerG_2014
199,0.05660377358490566,CRC,ZellerG_2014
200,0.7377049180327869,control,ZellerG_2014
201,0.37735849056603776,CRC,ZellerG_2014
202,0.04918032786885246,control,ZellerG_2014
203,0.03773584905660377,CRC,ZellerG_2014
204,0.39344262295081966,control,ZellerG_2014
205,0.1509433962264151,CRC,ZellerG_2014
206,0.819672131147541,control,ZellerG_2014
207,0.6415094339622641,CRC,ZellerG_2014
208,0.32786885245901637,control,ZellerG_2014
209,0.16981132075471697,CRC,ZellerG_2014
210,0.16393442622950818,control,ZellerG_2014
